feature,importance,kind,family
spectral_zcr_std,0.0027457611592941336,impurity/gain,spectral
mfcc_10_iqr,0.002716953135275137,impurity/gain,mfcc
mfcc_08_min,0.0026846865085267957,impurity/gain,mfcc
spectral_rolloff95_kurt,0.0026762552587234656,impurity/gain,spectral
spectral_band_2000_3000_std,0.0026717472245070873,impurity/gain,spectral
prosody_f2_std,0.0026630927405222916,impurity/gain,prosody
chroma_02_mean,0.0026440108102846385,impurity/gain,chroma
spectral_entropy_std,0.002639155034404408,impurity/gain,spectral
mfcc_17_kurt,0.0026384937520405887,impurity/gain,mfcc
spectral_bandwidth_kurt,0.002635807850321065,impurity/gain,spectral
mfcc_12_skew,0.0026183150922587245,impurity/gain,mfcc
mfcc_d1_02_mean,0.0025843292140797086,impurity/gain,mfcc
mfcc_00_mean,0.0025677253676920013,impurity/gain,mfcc
mfcc_16_kurt,0.002560465030159711,impurity/gain,mfcc
spectral_centroid_kurt,0.0025329638613237056,impurity/gain,spectral
spectral_band_5000_6000_std,0.0025253041846475606,impurity/gain,spectral
chroma_10_std,0.0025022219684210406,impurity/gain,chroma
spectral_flux_min,0.002499683930029119,impurity/gain,spectral
mfcc_01_std,0.002492019697479737,impurity/gain,mfcc
mfcc_d1_01_mean,0.0024920128837244895,impurity/gain,mfcc
spectral_rolloff85_max,0.0024156349244544417,impurity/gain,spectral
prosody_shimmer_localdb,0.0023652676738123955,impurity/gain,prosody
prosody_hnr_mean,0.0022504952624279573,impurity/gain,prosody
chroma_08_mean,0.002241633823673512,impurity/gain,chroma
spectral_contrast_5_std,0.0022411336710261554,impurity/gain,spectral
mfcc_08_max,0.0022369360860403295,impurity/gain,mfcc
prosody_intensity_iqr,0.002234380795227878,impurity/gain,prosody
prosody_intensity_skew,0.0022334820407117115,impurity/gain,prosody
prosody_f5_mean,0.002205155280636702,impurity/gain,prosody
mfcc_d1_05_std,0.0021951905747529445,impurity/gain,mfcc
spectral_band_500_1000_mean,0.002161453785620385,impurity/gain,spectral
chroma_05_std,0.0021487078921474446,impurity/gain,chroma
mfcc_d2_18_mean,0.0021477639907428853,impurity/gain,mfcc
mfcc_d2_01_std,0.0021397360385917255,impurity/gain,mfcc
prosody_f1_mean,0.002132706261159708,impurity/gain,prosody
mfcc_d2_12_mean,0.002102766077394431,impurity/gain,mfcc
chroma_03_mean,0.002095798969939759,impurity/gain,chroma
mfcc_d2_18_std,0.002087494830785404,impurity/gain,mfcc
mfcc_d1_17_mean,0.002082823995188721,impurity/gain,mfcc
mfcc_19_iqr,0.00207945675009439,impurity/gain,mfcc
mfcc_10_kurt,0.002068244928781743,impurity/gain,mfcc
prosody_f3_mean,0.0020571158010396252,impurity/gain,prosody
mfcc_03_median,0.0020490395380436547,impurity/gain,mfcc
chroma_09_std,0.002047189339907197,impurity/gain,chroma
mfcc_04_iqr,0.00202489886824308,impurity/gain,mfcc
mfcc_19_median,0.0019843056752274616,impurity/gain,mfcc
mfcc_18_kurt,0.001968488116476512,impurity/gain,mfcc
spectral_band_500_1000_std,0.0019597843396158307,impurity/gain,spectral
mfcc_04_std,0.0019593831356754937,impurity/gain,mfcc
chroma_01_mean,0.0019337710632078826,impurity/gain,chroma
spectral_entropy_max,0.001927461636270329,impurity/gain,spectral
mfcc_13_mean,0.0019259822900310423,impurity/gain,mfcc
mfcc_05_std,0.0018911560076520105,impurity/gain,mfcc
spectral_rolloff85_std,0.001865549166633847,impurity/gain,spectral
mfcc_10_mean,0.001859404527877516,impurity/gain,mfcc
mfcc_d2_19_std,0.0017901283307906943,impurity/gain,mfcc
mfcc_08_std,0.0017868683433994357,impurity/gain,mfcc
mfcc_16_skew,0.0017567254695615066,impurity/gain,mfcc
spectral_band_2000_3000_mean,0.0017391652300751542,impurity/gain,spectral
mfcc_12_kurt,0.00172727226266521,impurity/gain,mfcc
mfcc_d1_09_std,0.001721417195829803,impurity/gain,mfcc
mfcc_d1_07_mean,0.0017169250197558883,impurity/gain,mfcc
mfcc_00_skew,0.001686529534826122,impurity/gain,mfcc
spectral_slope_mean,0.0016725359112808264,impurity/gain,spectral
mfcc_14_max,0.001667506293222362,impurity/gain,mfcc
spectral_rolloff85_kurt,0.0016433795817095706,impurity/gain,spectral
mfcc_04_max,0.001630720286191128,impurity/gain,mfcc
mfcc_19_max,0.0016290130853990252,impurity/gain,mfcc
spectral_band_6000_8000_mean,0.001616482657074433,impurity/gain,spectral
mfcc_d2_19_mean,0.0016058218922435684,impurity/gain,mfcc
mfcc_d1_19_mean,0.001551316692458262,impurity/gain,mfcc
mfcc_02_min,0.001547434984494811,impurity/gain,mfcc
mfcc_14_mean,0.0015377175518706552,impurity/gain,mfcc
chroma_00_mean,0.0015307140029026736,impurity/gain,chroma
mfcc_07_iqr,0.0015119518824459998,impurity/gain,mfcc
mfcc_16_median,0.0015038876198912629,impurity/gain,mfcc
spectral_rolloff85_skew,0.001470309594200364,impurity/gain,spectral
spectral_flatness_max,0.0014675095586968586,impurity/gain,spectral
mfcc_13_min,0.0014520275068349935,impurity/gain,mfcc
spectral_rms_min,0.001444400400958939,impurity/gain,spectral
prosody_voiced_rate_per_s,0.0014203102165770184,impurity/gain,prosody
spectral_slope_min,0.0013960582186191438,impurity/gain,spectral
mfcc_d1_08_std,0.001359186088774825,impurity/gain,mfcc
mfcc_d1_15_mean,0.001334978532842976,impurity/gain,mfcc
mfcc_02_iqr,0.0013246271565297344,impurity/gain,mfcc
mfcc_11_min,0.001272394972451346,impurity/gain,mfcc
mfcc_00_max,0.0011199289708380706,impurity/gain,mfcc
spectral_slope_skew,0.0011191336310204271,impurity/gain,spectral
spectral_contrast_2_mean,0.0011172293796109694,impurity/gain,spectral
spectral_contrast_0_std,0.0011057173655827928,impurity/gain,spectral
mfcc_d1_17_std,0.0009858709995947618,impurity/gain,mfcc
prosody_f2_median,0.0008606469830490696,impurity/gain,prosody
prosody_f2_bw_median,0.0008248532941459528,impurity/gain,prosody
mfcc_d2_04_mean,0.0007950818159515418,impurity/gain,mfcc
mfcc_d1_18_std,0.0007298510146845512,impurity/gain,mfcc
spectral_bandwidth_skew,0.0007030297666039375,impurity/gain,spectral
spectral_rms_std,0.0007028616185279775,impurity/gain,spectral
mfcc_16_mean,0.0006686634093236785,impurity/gain,mfcc
mfcc_d2_09_std,0.0005683297334348441,impurity/gain,mfcc
spectral_band_3000_4000_std,0.0005568891575371389,impurity/gain,spectral
spectral_band_4000_5000_mean,0.0004959823793080627,impurity/gain,spectral
mfcc_08_kurt,0.000470784590286685,impurity/gain,mfcc
mfcc_d1_12_std,0.0004556916120123769,impurity/gain,mfcc
spectral_rolloff95_max,0.00039383352275115764,impurity/gain,spectral
mfcc_18_max,0.0002802173736748571,impurity/gain,mfcc
mfcc_02_skew,0.0002547442692152237,impurity/gain,mfcc
mfcc_d2_15_std,0.00022607528333661497,impurity/gain,mfcc
mfcc_06_skew,0.00016537920435951746,impurity/gain,mfcc
chroma_03_std,0.00010238452695993791,impurity/gain,chroma
mfcc_05_mean,7.386454229799463e-05,impurity/gain,mfcc
mfcc_d2_03_std,6.231714049895938e-05,impurity/gain,mfcc
mfcc_d2_07_mean,5.7587401517944404e-05,impurity/gain,mfcc
prosody_intensity_max,5.386773837904906e-05,impurity/gain,prosody
spectral_rolloff95_iqr,1.432140843698142e-17,impurity/gain,spectral
mfcc_18_min,1.3127957733899631e-17,impurity/gain,mfcc
spectral_flatness_iqr,0.0,impurity/gain,spectral
spectral_flatness_mean,0.0,impurity/gain,spectral
mfcc_d2_07_std,0.0,impurity/gain,mfcc
mfcc_d2_16_mean,0.0,impurity/gain,mfcc
mfcc_d2_13_mean,0.0,impurity/gain,mfcc
mfcc_d1_08_mean,0.0,impurity/gain,mfcc
mfcc_d2_08_mean,0.0,impurity/gain,mfcc
spectral_zcr_mean,0.0,impurity/gain,spectral
mfcc_d1_09_mean,0.0,impurity/gain,mfcc
mfcc_d1_14_std,0.0,impurity/gain,mfcc
mfcc_d1_16_std,0.0,impurity/gain,mfcc
mfcc_d2_09_mean,0.0,impurity/gain,mfcc
mfcc_d2_14_mean,0.0,impurity/gain,mfcc
mfcc_d1_10_mean,0.0,impurity/gain,mfcc
