epoch,train_loss,val_loss,val_uar
0,1.467574992262503,1.4236420392990112,0.49268239950772513
1,1.2003010882514697,1.3157165050506592,0.5304428811388847
2,1.089218287706132,1.3276270627975464,0.5420678873754761
3,1.0018352272070632,1.4004158973693848,0.526626087245755
4,0.9289470505884542,1.4630842208862305,0.5188095594471885
5,0.8832443481434619,1.4036535024642944,0.5257197026393254
6,0.8258977072805197,1.517844319343567,0.5175289793610405
7,0.7981127478660793,1.4520115852355957,0.5322556503517437
8,0.7611872790664221,1.5529245138168335,0.5282559164463071
9,0.7081037227166902,1.470629096031189,0.5358645578672522
10,0.6899777899702269,1.492092490196228,0.530251625671473
11,0.6467373906411649,1.5208908319473267,0.5344176686790069
12,0.6284076702218051,1.6496694087982178,0.5273329009296679
13,0.6016341485986895,1.6868581771850586,0.507725057792413
14,0.5872742907595075,1.6698273420333862,0.507725057792413
15,0.5571038895426176,1.602652668952942,0.5429659565268007
16,0.5405901734617508,1.680551528930664,0.5342347286667
17,0.5206429074177562,1.6162059307098389,0.5282559164463071
18,0.5052140827451156,1.6270798444747925,0.5473066240915365
19,0.4832478915514931,1.6075057983398438,0.5505745979477457
20,0.46853402816556644,1.6889904737472534,0.5280563455237904
21,0.45546738668805353,1.7280333042144775,0.5229756024547224
22,0.44034630034677114,1.6577796936035156,0.5400389163298908
23,0.4324634764901724,1.6690701246261597,0.5231668579221341
24,0.4332960609509918,1.7412707805633545,0.5137205009230156
25,0.43111209242351195,1.6263967752456665,0.5384090871293385
26,0.41114124045094946,1.6712241172790527,0.5518385471236841
27,0.4044975590997515,1.6867343187332153,0.5378685825475228
28,0.4011554006285867,1.7422043085098267,0.5177119193733473
29,0.38475920055498286,1.6761959791183472,0.5307921302532888
30,0.3778919801131179,1.7342398166656494,0.5331454040479635
31,0.37371833148231076,1.757925271987915,0.5257030717291157
32,0.3616081353964305,1.7885441780090332,0.5162650301851021
33,0.36993921770354415,1.7930707931518555,0.5171714147915315
34,0.3718758768262484,1.7080316543579102,0.5160737747176903
35,0.363601542564221,1.7348963022232056,0.542957641071696
36,0.34796395645107575,1.6958081722259521,0.5473149395466413
37,0.3476016294579501,1.7911145687103271,0.525337191704502
38,0.3543042450262258,1.8535034656524658,0.514626885529445
39,0.3432324249810035,1.785300612449646,0.5102695870544995
40,0.35317289142676694,1.7786329984664917,0.5160737747176903
41,0.34230250447046745,1.7493081092834473,0.5100866470421926
42,0.3386726473571085,1.758366584777832,0.5393154717357681
43,0.3324370663768776,1.753966212272644,0.5120823562673585
44,0.32538132022280214,1.7856340408325195,0.524979627134993
45,0.33269797528920186,1.7362700700759888,0.5166225947546109
46,0.32883701113628927,1.7733162641525269,0.5109930316486221
47,0.3219284814918199,1.7350162267684937,0.5198905686108201
48,0.3211751707832383,1.7654986381530762,0.5030018792928537
49,0.32049217225336274,1.694684624671936,0.5371451379534001
50,0.3205287453474498,1.7848855257034302,0.5226180378852135
51,0.3195813127370906,1.8242323398590088,0.5109930316486221
