model,train_condition,test_condition,accuracy,balanced_accuracy,macro_f1,weighted_f1,cohen_kappa,log_loss,top2_accuracy
dummy_majority,ref,ref,0.17073170731707318,0.16666666666666666,0.04861111111111111,0.049796747967479675,0.0,29.889858908048364,0.34146341463414637
dummy_majority,ref,mp3_64,0.17073170731707318,0.16666666666666666,0.04861111111111111,0.049796747967479675,0.0,29.889858908048364,0.34146341463414637
dummy_majority,ref,mp4_aac64,0.17073170731707318,0.16666666666666666,0.04861111111111111,0.049796747967479675,0.0,29.889858908048364,0.34146341463414637
dummy_majority,ref,roundtrip_wav,0.17073170731707318,0.16666666666666666,0.04861111111111111,0.049796747967479675,0.0,29.889858908048364,0.34146341463414637
dummy_stratified,ref,ref,0.16219512195121952,0.1613095238095238,0.1610643353472327,0.1618856963305348,-0.006125984533228657,30.197548632101807,0.3280487804878049
dummy_stratified,ref,mp3_64,0.16219512195121952,0.1613095238095238,0.1610643353472327,0.1618856963305348,-0.006125984533228657,30.197548632101807,0.3280487804878049
dummy_stratified,ref,mp4_aac64,0.16219512195121952,0.1613095238095238,0.1610643353472327,0.1618856963305348,-0.006125984533228657,30.197548632101807,0.3280487804878049
dummy_stratified,ref,roundtrip_wav,0.16219512195121952,0.1613095238095238,0.1610643353472327,0.1618856963305348,-0.006125984533228657,30.197548632101807,0.3280487804878049
logistic_regression,ref,ref,0.5652439024390243,0.5668650793650793,0.5608000763849209,0.5597079394859428,0.47818714076612767,1.3837721967604166,0.7853658536585366
logistic_regression,ref,mp3_64,0.23902439024390243,0.2333333333333333,0.14541837974374475,0.14896516949359215,0.08235294117647063,11.943069055562654,0.4274390243902439
logistic_regression,ref,mp4_aac64,0.47865853658536583,0.47222222222222227,0.4657134976512513,0.4694741566244335,0.3722354542361348,2.0637590835764503,0.7103658536585366
logistic_regression,ref,roundtrip_wav,0.47621951219512193,0.4699404761904762,0.4670045814405723,0.47071652696802974,0.36933242604397953,2.090528499988048,0.7060975609756097
lda,ref,ref,0.5847560975609756,0.5854166666666667,0.5795849378542396,0.579436829740491,0.5016065117275357,1.2608740092493713,0.7884146341463415
lda,ref,mp3_64,0.3463414634146341,0.33829365079365076,0.24794184381098663,0.25358606132784395,0.2117929772963667,6.131263471130162,0.47865853658536583
