condition,model,note,accuracy,balanced_accuracy,macro_f1,weighted_f1,cohen_kappa,per_class_f1,log_loss,top2_accuracy
ref,decision_tree_entropy,readable model; Shannon-entropy splitting,0.4067073170731707,0.4081349206349207,0.4023043754443904,0.4021469425506538,0.2884889776699723,"{'ANG': 0.6237288135593221, 'DIS': 0.2536231884057971, 'FEA': 0.3074074074074074, 'HAP': 0.32926829268292684, 'NEU': 0.40875912408759124, 'SAD': 0.4910394265232975}",10.93214926513822,0.5841463414634146
ref,decision_tree_readable,depth-3 tree printed in the paper,0.39878048780487807,0.4069444444444444,0.32131942365646887,0.31894127473560796,0.28284548518715635,"{'ANG': 0.6350148367952523, 'DIS': 0.0, 'FEA': 0.0, 'HAP': 0.3069139966273187, 'NEU': 0.4188235294117647, 'SAD': 0.5671641791044776}",1.5477393638859849,0.623780487804878
ref,random_forest,ensemble of entropy trees,0.5231707317073171,0.5259920634920635,0.5064240163794371,0.5053850995144686,0.42829122162586264,"{'ANG': 0.6869300911854104, 'DIS': 0.35294117647058826, 'FEA': 0.4091954022988506, 'HAP': 0.44646098003629764, 'NEU': 0.5490196078431373, 'SAD': 0.593996840442338}",1.2659278589406413,0.7457317073170732
ref,lightgbm,boosted ensemble,0.5896341463414634,0.5907738095238094,0.5839986941267171,0.5836655830078565,0.5075492575671046,"{'ANG': 0.7275641025641025, 'DIS': 0.4649298597194389, 'FEA': 0.551094890510949, 'HAP': 0.55078125, 'NEU': 0.59765625, 'SAD': 0.611965811965812}",1.8708968546665146,0.7871951219512195
ref,logistic_regression,"linear, inspectable coefficients",0.5652439024390243,0.5668650793650793,0.5608000763849209,0.5597079394859428,0.47818714076612767,"{'ANG': 0.7327731092436974, 'DIS': 0.4090909090909091, 'FEA': 0.5397350993377483, 'HAP': 0.5391621129326047, 'NEU': 0.6055776892430279, 'SAD': 0.5384615384615384}",1.3837721967604166,0.7853658536585366
ref,lda,linear with covariance shrinkage,0.5847560975609756,0.5854166666666667,0.5795849378542396,0.579436829740491,0.5016065117275357,"{'ANG': 0.7723440134907251, 'DIS': 0.43186582809224316, 'FEA': 0.5394736842105263, 'HAP': 0.5559701492537313, 'NEU': 0.5856573705179283, 'SAD': 0.5921985815602837}",1.2608740092493713,0.7884146341463415
ref,svm_rbf,kernel machine,0.5853658536585366,0.5856150793650794,0.5807939292816177,0.5801179119885381,0.5020539382032505,"{'ANG': 0.7532467532467533, 'DIS': 0.47058823529411764, 'FEA': 0.5504, 'HAP': 0.5182341650671785, 'NEU': 0.6085106382978723, 'SAD': 0.5837837837837838}",1.1104445667734455,0.7865853658536586
ref,mlp_sklearn,shallow network,0.573170731707317,0.5742063492063493,0.5691303944492406,0.5681871632225557,0.4875640544931883,"{'ANG': 0.739413680781759, 'DIS': 0.46060606060606063, 'FEA': 0.5362776025236593, 'HAP': 0.5245283018867924, 'NEU': 0.6078028747433265, 'SAD': 0.5461538461538461}",1.857078371169076,0.7804878048780488
mp3_64,decision_tree_entropy,readable model; Shannon-entropy splitting,0.37926829268292683,0.37896825396825395,0.3763832050699601,0.37697791738873954,0.25494466262049276,"{'ANG': 0.5699831365935919, 'DIS': 0.2835538752362949, 'FEA': 0.3185840707964602, 'HAP': 0.2851985559566787, 'NEU': 0.352, 'SAD': 0.4489795918367347}",12.044646520674666,0.5713414634146341
mp3_64,decision_tree_readable,depth-3 tree printed in the paper,0.4,0.4080357142857143,0.3226919367839899,0.3202959482347986,0.2841858732101985,"{'ANG': 0.6385542168674698, 'DIS': 0.0, 'FEA': 0.0, 'HAP': 0.3089700996677741, 'NEU': 0.42092746730083236, 'SAD': 0.567699836867863}",1.544557442480384,0.625609756097561
