feature,importance,kind,family
prosody_n_voiced_segments,0.0023109286557883024,impurity/gain,prosody
prosody_jitter_ddp,0.0023002412635833025,impurity/gain,prosody
mfcc_10_iqr,0.0022954787127673626,impurity/gain,mfcc
mfcc_09_skew,0.0022803456522524357,impurity/gain,mfcc
chroma_11_std,0.0022766476031392813,impurity/gain,chroma
spectral_flatness_skew,0.002271499950438738,impurity/gain,spectral
spectral_rms_std,0.002260435838252306,impurity/gain,spectral
mfcc_07_mean,0.002248012460768223,impurity/gain,mfcc
prosody_f1_median,0.002247684868052602,impurity/gain,prosody
mfcc_00_max,0.002245710464194417,impurity/gain,mfcc
spectral_entropy_skew,0.002240552334114909,impurity/gain,spectral
prosody_jitter_ppq5,0.0022338961716741323,impurity/gain,prosody
mfcc_d1_01_std,0.0022321073338389397,impurity/gain,mfcc
mfcc_09_min,0.0022219493985176086,impurity/gain,mfcc
mfcc_03_min,0.0022149148862808943,impurity/gain,mfcc
spectral_bandwidth_max,0.0022124226670712233,impurity/gain,spectral
prosody_pause_fraction,0.0021982998587191105,impurity/gain,prosody
spectral_flatness_std,0.0021955727133899927,impurity/gain,spectral
spectral_entropy_iqr,0.0021950779482722282,impurity/gain,spectral
mfcc_d1_09_std,0.0021876844111829996,impurity/gain,mfcc
mfcc_d2_06_std,0.00218567973934114,impurity/gain,mfcc
spectral_entropy_std,0.002163839293643832,impurity/gain,spectral
spectral_bandwidth_mean,0.0021562951151281595,impurity/gain,spectral
mfcc_10_min,0.0021541507449001074,impurity/gain,mfcc
mfcc_d2_14_std,0.002142605371773243,impurity/gain,mfcc
mfcc_04_median,0.002142254263162613,impurity/gain,mfcc
prosody_f0_min,0.002141886157914996,impurity/gain,prosody
mfcc_02_min,0.0021392207127064466,impurity/gain,mfcc
spectral_hf_ratio_6000_std,0.002138254465535283,impurity/gain,spectral
spectral_rolloff95_std,0.0021349929738789797,impurity/gain,spectral
spectral_bandwidth_skew,0.0021275291219353676,impurity/gain,spectral
mfcc_03_skew,0.0021245619282126427,impurity/gain,mfcc
prosody_jitter_rap,0.0021194133441895247,impurity/gain,prosody
prosody_intensity_kurt,0.0021054919343441725,impurity/gain,prosody
spectral_entropy_kurt,0.0021050916984677315,impurity/gain,spectral
prosody_voiced_fraction,0.0021016355603933334,impurity/gain,prosody
mfcc_05_mean,0.0020938082598149776,impurity/gain,mfcc
prosody_intensity_skew,0.0020931395702064037,impurity/gain,prosody
prosody_f0_slope_abs_mean,0.0020908943843096495,impurity/gain,prosody
mfcc_d1_08_std,0.0020898175425827503,impurity/gain,mfcc
spectral_bandwidth_std,0.0020753727294504642,impurity/gain,spectral
spectral_slope_std,0.0020733890123665333,impurity/gain,spectral
mfcc_00_kurt,0.0020707822404801846,impurity/gain,mfcc
mfcc_12_std,0.0020652874372899532,impurity/gain,mfcc
mfcc_12_max,0.0020624054595828056,impurity/gain,mfcc
prosody_voiced_rate_per_s,0.00205543776974082,impurity/gain,prosody
spectral_zcr_max,0.00205383007414639,impurity/gain,spectral
mfcc_d2_03_std,0.002052302472293377,impurity/gain,mfcc
prosody_hnr_max,0.0020485366694629192,impurity/gain,prosody
spectral_flux_min,0.002046755515038967,impurity/gain,spectral
mfcc_16_kurt,0.0020413470920175314,impurity/gain,mfcc
mfcc_14_std,0.0020384660456329584,impurity/gain,mfcc
mfcc_08_median,0.002037300728261471,impurity/gain,mfcc
prosody_f0_kurt,0.002027740702033043,impurity/gain,prosody
mfcc_19_max,0.0020226205233484507,impurity/gain,mfcc
spectral_rms_iqr,0.002016316168010235,impurity/gain,spectral
spectral_flatness_mean,0.0020110763143748045,impurity/gain,spectral
