feature,importance,kind,family
mfcc_11_max,0.0023453629686032273,impurity/gain,mfcc
prosody_f3_bw_median,0.0023447935437950432,impurity/gain,prosody
mfcc_10_median,0.0023385333147294624,impurity/gain,mfcc
spectral_contrast_2_std,0.002336615028332009,impurity/gain,spectral
spectral_rolloff95_median,0.0023269664331620984,impurity/gain,spectral
mfcc_d2_07_std,0.0023251157192171455,impurity/gain,mfcc
mfcc_09_median,0.002295796675878831,impurity/gain,mfcc
mfcc_04_median,0.0022908489265121065,impurity/gain,mfcc
mfcc_06_std,0.002278959304757374,impurity/gain,mfcc
mfcc_07_std,0.0022764688200021693,impurity/gain,mfcc
spectral_contrast_5_std,0.0022714077790608276,impurity/gain,spectral
mfcc_05_iqr,0.002268016610979246,impurity/gain,mfcc
mfcc_07_iqr,0.002267553799485238,impurity/gain,mfcc
prosody_hnr_min,0.0022533874595762433,impurity/gain,prosody
mfcc_d2_06_std,0.0022325968100879207,impurity/gain,mfcc
mfcc_10_mean,0.002228352478812346,impurity/gain,mfcc
mfcc_05_std,0.0022110558810350127,impurity/gain,mfcc
mfcc_d1_14_std,0.0022097342409580427,impurity/gain,mfcc
mfcc_10_std,0.0022072434622286904,impurity/gain,mfcc
mfcc_04_std,0.0022060501721043015,impurity/gain,mfcc
mfcc_d1_09_std,0.002203091194829013,impurity/gain,mfcc
mfcc_d1_06_std,0.0021925674266905556,impurity/gain,mfcc
mfcc_07_mean,0.0021890092928587065,impurity/gain,mfcc
mfcc_00_max,0.002183244977736663,impurity/gain,mfcc
mfcc_14_std,0.0021737750957805477,impurity/gain,mfcc
mfcc_d2_08_std,0.0021629800130420467,impurity/gain,mfcc
prosody_voiced_fraction,0.002159194268202645,impurity/gain,prosody
mfcc_12_skew,0.0021552629258849423,impurity/gain,mfcc
chroma_11_std,0.002143286799307947,impurity/gain,chroma
spectral_band_4000_5000_std,0.002122269009330505,impurity/gain,spectral
mfcc_d2_10_std,0.0021090888172553635,impurity/gain,mfcc
mfcc_10_min,0.0021046970462589463,impurity/gain,mfcc
peak_amplitude,0.002103717698934996,impurity/gain,other
mfcc_15_std,0.0021016105971734056,impurity/gain,mfcc
mfcc_d1_18_std,0.0020939473973707345,impurity/gain,mfcc
mfcc_d1_12_std,0.0020755655126090456,impurity/gain,mfcc
mfcc_d2_12_std,0.002075075037132753,impurity/gain,mfcc
mfcc_d2_14_std,0.0020705940752850246,impurity/gain,mfcc
mfcc_d1_11_std,0.002063689798639906,impurity/gain,mfcc
chroma_00_std,0.0020584046561757533,impurity/gain,chroma
chroma_08_mean,0.002049645323612109,impurity/gain,chroma
mfcc_05_mean,0.0020475333238801313,impurity/gain,mfcc
mfcc_d1_15_std,0.002044688540111538,impurity/gain,mfcc
spectral_entropy_std,0.0020412920224687644,impurity/gain,spectral
prosody_f0_kurt,0.002038949622448359,impurity/gain,prosody
mfcc_d1_01_std,0.0020312554730484594,impurity/gain,mfcc
mfcc_d1_17_std,0.0020297900685633786,impurity/gain,mfcc
spectral_entropy_iqr,0.0020276653104675064,impurity/gain,spectral
mfcc_03_iqr,0.0020235268360437085,impurity/gain,mfcc
chroma_09_mean,0.0020224555044275876,impurity/gain,chroma
mfcc_13_skew,0.0020198951865685395,impurity/gain,mfcc
mfcc_19_max,0.002005922183234003,impurity/gain,mfcc
mfcc_07_min,0.001998385431075914,impurity/gain,mfcc
mfcc_d1_02_mean,0.0019968451717500726,impurity/gain,mfcc
mfcc_11_std,0.001994246976898037,impurity/gain,mfcc
mfcc_02_skew,0.0019927037587495087,impurity/gain,mfcc
spectral_rms_std,0.001982494560798267,impurity/gain,spectral
mfcc_18_iqr,0.001976564233982617,impurity/gain,mfcc
mfcc_06_max,0.001975159179750286,impurity/gain,mfcc
prosody_f3_std,0.0019742776943653794,impurity/gain,prosody
spectral_contrast_0_mean,0.0019701671710115843,impurity/gain,spectral
mfcc_08_std,0.0019701244204603555,impurity/gain,mfcc
spectral_slope_min,0.0019695064543226145,impurity/gain,spectral
mfcc_d2_05_std,0.001968496190954778,impurity/gain,mfcc
mfcc_12_mean,0.0019621320929939117,impurity/gain,mfcc
prosody_f1_median,0.0019599636368125943,impurity/gain,prosody
mfcc_09_skew,0.0019579610997365877,impurity/gain,mfcc
mfcc_d1_08_std,0.001954924351753271,impurity/gain,mfcc
mfcc_d2_19_std,0.0019537480432151072,impurity/gain,mfcc
prosody_jitter_local,0.0019500163216999093,impurity/gain,prosody
