condition,path,depth,feature,family,threshold,entropy_bits,information_gain_bits,n_samples,w_samples
ref,(root),0,prosody_intensity_std,prosody,8.21837568283081,2.5849625007211694,0.308986507622494,4905,4905.0
ref,L,1,mfcc_d1_00_std,mfcc,3.9964550733566284,2.384906207334491,0.141545654301112,3065,3098.6726528831664
ref,LL,2,spectral_band_0_500_mean,spectral,0.862638920545578,1.9381752968658619,0.06853332215064611,1059,1048.981750255284
ref,LLL,3,prosody_intensity_median,prosody,64.3901252746582,2.1109786054108297,0.0763046442529125,503,502.0651371303085
ref,LLLL,4,mfcc_05_iqr,mfcc,8.705767154693604,2.3273172641168585,0.18634195336497972,139,139.12878249436943
ref,LLLLL,5,prosody_mean_voiced_seg_s,prosody,0.07845238223671913,2.0071169920667438,0.23245185011240843,74,73.3742762462092
ref,LLLLR,5,mfcc_18_max,mfcc,7.919586658477783,2.2903454119581443,0.30339114929373456,65,65.75450624816044
ref,LLLR,4,mfcc_07_mean,mfcc,1.0004222989082336,1.9224914643489335,0.07586281763006236,364,362.9363546359401
ref,LLLRL,5,spectral_band_2000_3000_mean,spectral,0.0030073579400777817,1.955332601242281,0.0944739889617987,282,282.89220402987206
ref,LLLRR,5,spectral_contrast_1_std,spectral,3.2341768741607666,1.4624469039050543,0.17628846018550892,82,80.04415060606834
ref,LLR,3,prosody_f0_mean,prosody,174.45011138916016,1.6480968512412366,0.07274111593771398,556,546.9166131249652
ref,LLRL,4,mfcc_00_mean,mfcc,-220.3357925415039,1.6344487023897545,0.06760897282923506,391,385.3715893107081
ref,LLRLL,5,mfcc_12_skew,mfcc,-0.03918556310236454,2.049547022734273,0.22289414184325285,52,52.744741838328615
ref,LLRLR,5,prosody_f1_median,prosody,403.7763214111328,1.4902966851388184,0.063344804997366,339,332.6268474723799
ref,LLRR,4,prosody_intensity_iqr,prosody,5.889036417007446,1.4343872913030937,0.13432894192349798,165,161.5450238142582
ref,LLRRL,5,mfcc_08_mean,mfcc,0.8632820546627045,1.3104226966734753,0.22738800232275724,90,88.0274900098105
ref,LLRRR,5,mfcc_d1_12_std,mfcc,0.6100881397724152,1.2876484189771829,0.2700884589317434,75,73.51753380444772
ref,LR,2,prosody_f0_mean,prosody,220.58856201171875,2.399546914477622,0.0989903885700936,2006,2049.690902627838
ref,LRL,3,spectral_centroid_iqr,spectral,209.53951263427734,2.3328210915719048,0.06816229274529428,1781,1828.354973456965
ref,LRLL,4,mfcc_d1_03_std,mfcc,1.3159883618354797,2.2209844378642063,0.08096780952014848,564,577.1442216194594
ref,LRLLL,5,mfcc_d1_06_std,mfcc,1.021495759487152,2.043531843029539,0.15156767024039608,163,161.58163013620975
ref,LRLLR,5,prosody_intensity_mean,prosody,67.76617813110352,2.177532442360953,0.07739058538986865,401,415.56259148324847
ref,LRLR,4,duration_s,other,2.6526249647140503,2.284804409808052,0.06899383132424197,1217,1251.210751837531
ref,LRLRL,5,prosody_hnr_mean,prosody,3.4175596237182617,2.2365740307659228,0.07078463381898481,730,759.9458470482122
ref,LRLRR,5,mfcc_d1_02_std,mfcc,1.976292371749878,2.1836912490174663,0.09584994310901207,487,491.26490478932124
ref,LRR,3,prosody_f0_max,prosody,372.4766845703125,2.034033691951494,0.17965791554356592,225,221.33592917088404
ref,LRRL,4,mfcc_d1_00_std,mfcc,5.501452445983887,2.2359063979844938,0.26149529370134195,119,117.75928859777676
ref,LRRLL,5,mfcc_06_iqr,mfcc,8.876508712768555,1.6238797493119415,0.23616966632958147,67,66.69192630597665
ref,LRRLR,5,prosody_shimmer_apq5,prosody,0.1309422254562378,2.432190990389144,0.3738721648833101,52,51.06736229180028
ref,LRRR,4,mfcc_d2_05_std,mfcc,0.666100263595581,1.4206025402175484,0.2060826510343145,106,103.57664057310767
ref,LRRRL,5,mfcc_13_skew,mfcc,-0.18138404935598373,1.6353857346436536,0.2441162372663631,52,50.73142017604643
ref,LRRRR,5,mfcc_01_max,mfcc,98.86260986328125,0.8104886090906438,0.16336148963201372,54,52.845220397061404
ref,R,1,mfcc_d1_00_std,mfcc,6.662970304489136,2.089111150209605,0.17966046390354629,1840,1806.32734711683
ref,RL,2,prosody_f0_median,prosody,161.86734771728516,2.2633242014339063,0.11406425879813287,847,834.6189445072773
ref,RLL,3,spectral_centroid_iqr,spectral,310.55029296875,2.3335391953708897,0.15786312955109094,254,254.77824274170902
ref,RLLL,4,spectral_contrast_1_std,spectral,3.173478841781616,2.278061874840163,0.16194835967499688,146,147.92424246171322
ref,RLLLR,5,chroma_11_mean,chroma,0.5686488151550293,2.2551682198066865,0.1848509096090205,107,107.05251241811392
ref,RLLR,4,duration_s,other,2.4524375200271606,2.033937401862609,0.19872041133056606,108,106.85400027999617
ref,RLLRL,5,mfcc_14_mean,mfcc,-2.261199116706848,1.9790966604290139,0.2989002356418312,58,57.07981393581423
ref,RLLRR,5,mfcc_d2_16_mean,mfcc,0.0022706104209646583,1.670219320252181,0.2390432292285275,50,49.7741863441821
ref,RLR,3,prosody_f0_min,prosody,149.03301239013672,2.0682888344630963,0.07782178031950782,593,579.8407017655551
ref,RLRL,4,mfcc_03_std,mfcc,12.039577007293701,2.1027760021085857,0.09930107023254897,385,376.92900725481246
ref,RLRLL,5,prosody_f0_skew,prosody,-0.715263843536377,1.9076438016381319,0.1771452773940776,175,171.23046277543028
ref,RLRLR,5,spectral_flux_iqr,spectral,3.791396379470825,2.0832480232241526,0.170044408396671,210,205.69854447938252
ref,RLRR,4,prosody_intensity_std,prosody,10.418732166290283,1.7818418176122768,0.14371287394176546,208,202.9116945107393
ref,RLRRL,5,mfcc_d2_09_std,mfcc,0.5439583361148834,1.8951495350141123,0.20654440259781803,99,96.57816229116936
ref,RLRRR,5,mfcc_d1_05_std,mfcc,1.067578911781311,1.4046882230923732,0.14369881385160466,109,106.33353221957027
ref,RR,2,prosody_intensity_min,prosody,42.755422592163086,1.6055019513851607,0.09250667557789383,993,971.7084026096126
ref,RRL,3,mfcc_03_max,mfcc,46.11346435546875,1.2264733649854578,0.07473073958268805,542,528.7445466676921
ref,RRLL,4,spectral_entropy_mean,spectral,0.4681793451309204,1.5107295673490089,0.12405148496302942,305,297.5411138484691
ref,RRLLL,5,mfcc_03_max,mfcc,38.13029479980469,1.746551118272894,0.1858581375617524,132,128.77321408713334
ref,RRLLR,5,mfcc_13_min,mfcc,-13.807134628295898,1.112087905225586,0.09053711748839144,173,168.7678997613361
ref,RRLR,4,mfcc_d1_00_std,mfcc,8.050280570983887,0.689753920212323,0.09512052082167177,237,231.20343281922243
ref,RRLRL,5,mfcc_13_median,mfcc,-0.07764366827905178,1.0423866365286136,0.13227367831414477,113,110.23684570705112
ref,RRLRR,5,mfcc_d2_07_std,mfcc,0.6957148313522339,0.1865958933689247,0.057653077769347055,124,120.96658711217164
ref,RRR,3,spectral_contrast_2_mean,spectral,12.115997314453125,1.8550026333279857,0.09146421909985625,451,442.96385594189553
ref,RRRL,4,mfcc_d2_00_std,mfcc,3.2530436515808105,2.133185879603268,0.21520567482205133,95,94.50446494046739
ref,RRRLL,5,prosody_f0_std,prosody,40.06610870361328,2.0726763553854317,0.28171581897098563,59,59.05268763083162
ref,RRRR,4,mfcc_03_max,mfcc,40.80271530151367,1.6632876049975804,0.10398768723376639,356,348.4593910014282
ref,RRRRL,5,mfcc_d2_12_std,mfcc,0.5590417087078094,1.9536814732460934,0.20557349903885574,87,85.70399781168983
ref,RRRRR,5,spectral_bandwidth_std,spectral,361.5458526611328,1.4306628779767094,0.09746858344792675,269,262.75539318973875
mp3_64,(root),0,prosody_intensity_std,prosody,8.220983505249023,2.5849625007211694,0.3089865076224916,4905,4905.0
mp3_64,L,1,mfcc_d1_00_std,mfcc,4.0174548625946045,2.384906207334491,0.13975153299431398,3065,3098.6726528831714
mp3_64,LL,2,spectral_band_0_500_mean,spectral,0.8627098798751831,1.952359958238871,0.06686890727883088,1080,1070.3026375717702
mp3_64,LLL,3,prosody_intensity_median,prosody,63.928659439086914,2.125665318779767,0.07522180851360138,515,514.2690838793579
mp3_64,LLLL,4,mfcc_05_iqr,mfcc,8.720583438873291,2.326060414112167,0.1390679458233368,148,148.24222651344326
mp3_64,LLLLL,5,chroma_05_std,chroma,0.2545253038406372,2.0609469580360864,0.209744204208399,79,78.58673781004305
mp3_64,LLLLR,5,mfcc_02_mean,mfcc,24.842448234558105,2.3291995743008735,0.2944694737424731,69,69.65548870340034
mp3_64,LLLR,4,spectral_flatness_mean,spectral,0.004074543481692672,1.9388176482053685,0.07438503315532463,367,366.02685736591565
mp3_64,LLLRL,5,spectral_contrast_5_std,spectral,2.85056734085083,1.7809742560841368,0.1171141532521941,166,166.70177175415438
mp3_64,LLLRR,5,mfcc_07_median,mfcc,3.045189619064331,1.934231437735156,0.11653606735361804,201,199.32508561176166
mp3_64,LLR,3,prosody_f0_mean,prosody,175.0992660522461,1.663356613455657,0.07618970105572853,565,556.0335536924006
mp3_64,LLRL,4,mfcc_00_mean,mfcc,-223.69798278808594,1.6512743320216212,0.07529397917454417,399,393.51299288530305
mp3_64,LLRLL,5,mfcc_12_skew,mfcc,-0.047418588772416115,2.0238407175161144,0.26451136787261964,57,57.957203402162484
mp3_64,LLRLR,5,mfcc_16_skew,mfcc,-0.2056257426738739,1.4986259007278864,0.06788261524921158,342,335.5557894831411
mp3_64,LLRR,4,prosody_intensity_iqr,prosody,5.854101657867432,1.4319428445268756,0.134664922005588,166,162.52056080709832
mp3_64,LLRRL,5,mfcc_d2_08_mean,mfcc,-0.00127320148749277,1.3668928595637186,0.17192135594435987,91,89.16924978634682
mp3_64,LLRRR,5,mfcc_d1_12_std,mfcc,0.6270055770874023,1.2126507819342407,0.20420904518564875,75,73.3513110207515
mp3_64,LR,2,prosody_f0_mean,prosody,221.53035736083984,2.3996525985575734,0.10021961217218636,1985,2028.3700153113537
mp3_64,LRL,3,spectral_band_0_500_std,spectral,0.2523569315671921,2.3331998363550817,0.06875837069939261,1771,1818.26366141281
mp3_64,LRLL,4,prosody_hnr_median,prosody,3.762193202972412,2.28097504594827,0.0702771618001079,935,957.4228831369579
mp3_64,LRLLL,5,chroma_08_std,chroma,0.22153449058532715,2.160074629806121,0.12855265099365187,278,277.2800420606097
mp3_64,LRLLR,5,duration_s,other,2.6192811727523804,2.2313359284610423,0.06602994188558187,657,680.142841076341
mp3_64,LRLR,4,mfcc_d2_00_std,mfcc,2.4822826385498047,2.2460528989057473,0.07773695379798673,836,860.8407782758958
mp3_64,LRLRL,5,spectral_flux_std,spectral,4.002664804458618,2.131340552321923,0.0982452336794028,530,544.0268005506654
mp3_64,LRLRR,5,spectral_band_4000_5000_std,spectral,0.014915773645043373,2.2318093704321162,0.10146396259959589,306,316.8139777252189
mp3_64,LRR,3,mfcc_02_std,mfcc,14.7186861038208,2.0072141404482315,0.16681775014446876,214,210.1063538985544
mp3_64,LRRL,4,mfcc_06_mean,mfcc,-1.1105501055717468,1.4471853896782718,0.310669234697679,65,63.58078938278438
mp3_64,LRRR,4,mfcc_16_std,mfcc,4.416820049285889,2.011019625207402,0.19689043485738533,149,146.52556451577036
mp3_64,LRRRL,5,duration_s,other,2.276812434196472,2.4303324648257227,0.3873990446764215,63,62.62821761540196
mp3_64,LRRRR,5,spectral_contrast_3_std,spectral,4.553560733795166,1.3541419059485513,0.23507565262886998,86,83.89734690036866
mp3_64,R,1,mfcc_d1_00_std,mfcc,6.688270568847656,2.0891111502096047,0.17995799208296448,1840,1806.3273471168302
mp3_64,RL,2,prosody_f0_median,prosody,161.86866760253906,2.2614763442142665,0.11287525690220646,873,859.9840718372416
mp3_64,RLL,3,spectral_centroid_iqr,spectral,310.52992248535156,2.3306087947022056,0.15920224488881995,257,257.7048537202294
mp3_64,RLLL,4,mfcc_05_median,mfcc,2.2366527318954468,2.2728400056054965,0.15616276968707243,147,148.89977945455337
mp3_64,RLLLR,5,spectral_contrast_4_mean,spectral,15.172699451446533,2.0742976736915133,0.18483089730368385,110,110.64051798305765
mp3_64,RLLR,4,duration_s,other,2.4524375200271606,2.032594832632988,0.20063054004102687,110,108.80507426567635
mp3_64,RLLRL,5,mfcc_14_mean,mfcc,-2.984316110610962,1.9683458493827244,0.3087351707590096,60,59.030887921494426
mp3_64,RLLRR,5,mfcc_02_iqr,mfcc,24.34289836883545,1.6702193202521811,0.27668204403623564,50,49.7741863441821
mp3_64,RLR,3,spectral_band_0_500_mean,spectral,0.7315520346164703,2.070723139347082,0.07669978642027431,616,602.2792181169989
mp3_64,RLRL,4,prosody_f0_median,prosody,270.2333068847656,2.044195156710114,0.10145464090867273,320,312.50661430846293
mp3_64,RLRLL,5,mfcc_d2_01_std,mfcc,1.312674641609192,2.028090276635276,0.11529301785780466,221,215.92845201729386
mp3_64,RLRLR,5,prosody_intensity_std,prosody,11.446309566497803,1.7519164071242161,0.25291180798192836,99,96.57816229116936
mp3_64,RLRR,4,prosody_f0_std,prosody,46.892377853393555,1.9399153374416016,0.11476354803562494,296,289.7726038085314
mp3_64,RLRRL,5,mfcc_00_iqr,mfcc,110.3305778503418,2.036537635970956,0.1468373930581206,177,173.68137062831957
mp3_64,RLRRR,5,mfcc_02_std,mfcc,13.853559970855713,1.5089023831666462,0.184508624968178,119,116.09123318021214
mp3_64,RR,2,prosody_intensity_min,prosody,42.3291072845459,1.5889814655821088,0.09144667719886945,967,946.3432752796479
mp3_64,RRL,3,spectral_band_3000_4000_mean,spectral,0.01458731573075056,1.2122627694408004,0.0773695652748062,532,518.9880112231701
mp3_64,RRLL,4,mfcc_03_max,mfcc,39.29293251037598,1.4877560695848286,0.10987535504664914,272,265.3483930847461
mp3_64,RRLLL,5,spectral_entropy_mean,spectral,0.4693067669868469,1.595371329590852,0.26689902536862287,80,78.04295942720763
mp3_64,RRLLR,5,mfcc_d2_00_std,mfcc,2.7188485860824585,1.287260752720155,0.08097237166461024,192,187.3054336575388
mp3_64,RRLR,4,mfcc_d2_10_std,mfcc,0.6478073000907898,0.7657411174164107,0.09864115648762156,260,253.63961813842403
mp3_64,RRLRL,5,mfcc_d2_17_std,mfcc,0.5031916797161102,0.5685524142820259,0.06728833550393748,233,227.30011933174157
mp3_64,RRR,3,spectral_contrast_2_mean,spectral,12.208073139190674,1.8439743205964956,0.1046352393419161,435,427.355264056454
mp3_64,RRRL,4,mfcc_d2_00_std,mfcc,3.2140069007873535,2.121817411890142,0.25537124805521605,106,105.73404021279705
mp3_64,RRRLL,5,prosody_f0_std,prosody,36.22097587585449,2.071064428242103,0.3805832734107478,62,62.47796696044056
mp3_64,RRRR,4,mfcc_d2_12_std,mfcc,0.5605219900608063,1.6135980660670899,0.09427069918823583,329,321.6212238436571
mp3_64,RRRRL,5,spectral_band_0_500_std,spectral,0.31297071278095245,1.5620470704856342,0.10666006681553641,236,230.39761515843998
mp3_64,RRRRR,5,mfcc_d1_06_std,mfcc,1.234772801399231,1.4114329525585287,0.20512090289993218,93,91.22360868521747
mp4_aac64,(root),0,prosody_intensity_std,prosody,8.32409381866455,2.5849625007211694,0.3063992693340113,4905,4905.0
mp4_aac64,L,1,mfcc_00_iqr,mfcc,60.585289001464844,2.3887198672421914,0.14083300126172915,3075,3109.08941739799
mp4_aac64,LL,2,spectral_band_500_1000_mean,spectral,0.0796828493475914,1.9818943248789578,0.0874749477210468,1181,1175.7041182700673
mp4_aac64,LLL,3,prosody_f0_mean,prosody,169.40674591064453,1.479839466715752,0.08770096131593963,395,386.61184171068766
mp4_aac64,LLLL,4,mfcc_05_iqr,mfcc,7.645164728164673,1.3053733888612087,0.10594611248596342,241,235.63150203397583
mp4_aac64,LLLLL,5,prosody_shimmer_local,prosody,0.22729218006134033,0.9763699978506799,0.09694153764946017,156,152.32596384975324
