,shift_sd
mfcc_10_iqr,0.04255265156099196
mfcc_d2_05_std,0.04253236901125511
spectral_rms_median,0.04207536223448508
mfcc_00_max,0.041675268663302026
mfcc_d2_15_std,0.04111358930775454
mfcc_d2_19_std,0.04108001767078926
mfcc_14_median,0.04104711290166238
prosody_pause_fraction,0.040932978449606874
prosody_voiced_fraction,0.04093297844960687
spectral_slope_median,0.0407724604626007
mfcc_d2_17_std,0.040757066809585
spectral_rolloff85_iqr,0.04009514165304727
mfcc_17_iqr,0.04004943722513766
mfcc_d2_14_std,0.03943109280988175
chroma_05_std,0.039015608465521226
mfcc_07_iqr,0.038984747371712515
mfcc_11_kurt,0.03879738334502745
mfcc_18_skew,0.03776662607396677
spectral_zcr_kurt,0.03764462920085441
mfcc_d2_16_std,0.03723393554116181
mfcc_10_kurt,0.037118204278568614
spectral_hf_ratio_4000_mean,0.03705163415865981
spectral_band_5000_6000_mean,0.03686334199529857
mfcc_09_kurt,0.03654123806303385
spectral_band_2000_3000_mean,0.036082605654605276
mfcc_03_std,0.03599648424803988
mfcc_d1_08_std,0.035709285610507194
mfcc_19_kurt,0.03569859521840636
mfcc_02_iqr,0.03518335709992884
spectral_flux_median,0.03517345268988065
mfcc_10_median,0.03493248429545736
spectral_centroid_iqr,0.03488105154767745
spectral_hf_ratio_6000_std,0.03417939404925385
spectral_band_6000_8000_std,0.03394277706267348
spectral_bandwidth_median,0.03363731333515283
mfcc_d2_17_mean,0.033585557377146864
mfcc_12_skew,0.03349257697094828
mfcc_14_skew,0.033413078628741856
mfcc_15_iqr,0.03294135037206036
prosody_intensity_std,0.03254497767873374
mfcc_15_kurt,0.03245415825627626
chroma_01_std,0.031214508924693886
spectral_flux_skew,0.03094519232494494
mfcc_16_skew,0.030328433720370456
mfcc_d1_09_std,0.030095316665203712
mfcc_d1_07_std,0.029429814151233143
mfcc_d1_06_std,0.02936803137497282
spectral_band_1000_2000_std,0.029209814970305045
mfcc_01_iqr,0.0290150944374759
mfcc_d1_10_std,0.028865551128719413
mfcc_d2_19_mean,0.028561521595988515
mfcc_d2_07_mean,0.028537362678917676
spectral_contrast_2_mean,0.02852605617801207
spectral_slope_std,0.02841296892814811
mfcc_17_kurt,0.028296698029410403
mfcc_02_median,0.028022957304403847
mfcc_03_mean,0.02756305813291969
mfcc_d1_04_std,0.02718488207710038
mfcc_18_mean,0.02626868732179519
mfcc_d2_11_mean,0.026112528543937363
mfcc_04_skew,0.025753794820044543
mfcc_04_median,0.02574404622523461
