,shift_sd
mfcc_13_kurt,0.042793493991435116
mfcc_10_iqr,0.04262215728268983
spectral_hf_ratio_4000_mean,0.042462399254301404
mfcc_d2_05_std,0.04238166719467845
spectral_rms_median,0.042075561411776964
mfcc_00_max,0.04167430303053644
spectral_band_5000_6000_mean,0.041504491562808395
mfcc_d2_19_std,0.04126200445861427
chroma_01_std,0.04111506109724332
spectral_rolloff85_iqr,0.04110913891297681
mfcc_d2_15_std,0.04109810573497813
prosody_pause_fraction,0.040851971192087826
prosody_voiced_fraction,0.040851971192087805
mfcc_14_median,0.04082450064129334
spectral_slope_median,0.04077486858463889
mfcc_17_iqr,0.04071477356508295
mfcc_d2_17_std,0.04059396568153416
mfcc_07_iqr,0.039756547524389264
spectral_hf_ratio_6000_std,0.03966144308740286
mfcc_d2_14_std,0.03938346939595165
spectral_band_6000_8000_std,0.03921067372855923
mfcc_11_kurt,0.03857333277150344
spectral_band_2000_3000_mean,0.03822197031112593
mfcc_18_skew,0.03771225902079232
mfcc_d2_16_std,0.03750161009669247
mfcc_10_kurt,0.03703694093446969
mfcc_09_kurt,0.03660306707210157
spectral_bandwidth_median,0.03631912151637102
mfcc_03_std,0.03598752277388629
mfcc_d1_08_std,0.03577794915025151
mfcc_19_kurt,0.03564526796288125
spectral_flux_median,0.03517341847315808
mfcc_10_median,0.03515988227021625
mfcc_02_iqr,0.035119241940752076
spectral_centroid_iqr,0.03459528020154701
spectral_zcr_mean,0.034433184279340334
chroma_06_std,0.034129808769506616
chroma_00_std,0.03409620236159724
chroma_07_std,0.034050612079842286
mfcc_d2_17_mean,0.03384803732396378
mfcc_12_skew,0.03352572376248484
mfcc_14_skew,0.03351193063783888
prosody_intensity_std,0.032539904117610596
mfcc_15_kurt,0.0324521350662277
mfcc_15_iqr,0.032051173262441265
spectral_flux_skew,0.03094436451699705
mfcc_16_skew,0.030278397478586135
mfcc_d1_09_std,0.030139282829352233
spectral_contrast_2_mean,0.030113864821245066
mfcc_d1_07_std,0.029407064934856012
mfcc_d1_06_std,0.02936026829562404
mfcc_01_iqr,0.029211699892443342
mfcc_d2_19_mean,0.029030344469657476
mfcc_d1_10_std,0.0288763404142254
spectral_hf_ratio_6000_mean,0.02848694878188118
spectral_slope_std,0.02840999742748201
spectral_band_6000_8000_mean,0.02825231101859898
mfcc_17_kurt,0.02822042031542928
mfcc_d2_07_mean,0.028126725831287596
mfcc_02_median,0.028123806287236444
chroma_08_std,0.028068596552525044
mfcc_03_mean,0.02756896422459691
mfcc_d1_04_std,0.02715510357598173
chroma_10_std,0.026609341199808473
chroma_11_std,0.026538080940389595
mfcc_18_mean,0.02628221614539269
spectral_band_1000_2000_std,0.025997922811201397
mfcc_04_median,0.025836380858218776
mfcc_d2_11_mean,0.025766021028662243
mfcc_02_mean,0.02570622836164181
mfcc_04_skew,0.025705286131800138
mfcc_d1_11_std,0.025510371547796395
mfcc_07_skew,0.024882447808041483
mfcc_08_median,0.02484174532949348
mfcc_d2_04_std,0.02386712647225152
spectral_contrast_2_std,0.023458661324395953
mfcc_02_std,0.023283805441136785
mfcc_d2_02_std,0.02323119588315435
spectral_slope_min,0.023187157725379538
mfcc_d2_03_std,0.023072768497419543
spectral_band_1000_2000_mean,0.022889060508401247
mfcc_12_mean,0.022693734415294896
prosody_voiced_rate_per_s,0.022359570655053528
mfcc_16_mean,0.022129235583094126
mfcc_12_kurt,0.021824554023674395
mfcc_09_std,0.021351127328092072
mfcc_d1_13_std,0.020987536712957694
prosody_hnr_min,0.0207371078413469
mfcc_06_std,0.020612841430556254
chroma_09_std,0.02043922363531656
mfcc_12_iqr,0.020294769629098684
mfcc_14_iqr,0.020240373644875388
mfcc_10_skew,0.020212567753562623
spectral_rolloff85_median,0.019969697425085163
spectral_contrast_1_mean,0.019683024527302962
mfcc_15_skew,0.019602946854191103
mfcc_11_median,0.01956549449523438
mfcc_19_median,0.0191606714293737
peak_amplitude,0.01900836491012038
spectral_contrast_6_std,0.0185751650265662
spectral_contrast_1_std,0.018103372336537086
mfcc_14_mean,0.018070257623735878
mfcc_d1_19_std,0.017673276261165504
prosody_f0_kurt,0.01751503711657432
mfcc_18_kurt,0.01742088118569119
mfcc_11_skew,0.017237030668356364
mfcc_08_std,0.016949006792534037
spectral_centroid_median,0.016524842081876014
mfcc_07_std,0.01595489565769396
mfcc_17_skew,0.01560494380160914
mfcc_15_median,0.015596908628732337
prosody_f2_bw_median,0.015543234359387658
mfcc_19_skew,0.015363536159428669
mfcc_05_median,0.015145281443450058
spectral_flux_max,0.01508779327347846
mfcc_17_median,0.014983449886635775
mfcc_11_std,0.01488219092784463
mfcc_01_max,0.014876150936157798
chroma_03_mean,0.014781347559883841
spectral_rolloff95_median,0.014355491813828527
mfcc_03_min,0.014324358713369638
mfcc_d1_17_std,0.01427799748874922
mfcc_19_std,0.014254985206373161
spectral_rms_std,0.014131592337101201
chroma_02_mean,0.014113853926724273
mfcc_03_median,0.014040465444815043
chroma_04_mean,0.01402219451871448
prosody_intensity_max,0.014003218504862422
mfcc_10_mean,0.01397267291685831
prosody_f0_max,0.01379156476682545
prosody_shimmer_apq11,0.013671735630289646
mfcc_d1_15_std,0.013623628691372203
mfcc_16_kurt,0.01342721713572482
mfcc_02_min,0.013366341714193859
prosody_hnr_max,0.013272384603691864
mfcc_02_max,0.013202364065516725
prosody_shimmer_apq3,0.013197028254310237
prosody_shimmer_dda,0.013197028254310232
spectral_rms_skew,0.013167346771437447
mfcc_d1_12_std,0.012930539753976426
prosody_shimmer_localdb,0.012921266428632897
mfcc_13_min,0.012915390936763171
mfcc_d1_18_std,0.012786326769630343
mfcc_d2_18_mean,0.012615074332552715
prosody_f0_std,0.012608453221333369
mfcc_00_iqr,0.012597222300128639
spectral_rms_max,0.012522946412080292
mfcc_01_median,0.012475746836384399
mfcc_13_std,0.01227672350421368
mfcc_d2_09_mean,0.012103206805547814
mfcc_05_iqr,0.01201796300136373
spectral_flux_std,0.01195660043872744
mfcc_10_std,0.011943164017892834
prosody_f3_bw_median,0.01190119302342287
mfcc_07_median,0.011689691915803576
mfcc_19_min,0.011601183913528818
spectral_band_500_1000_std,0.011501896148909875
mfcc_08_skew,0.011394014683664765
mfcc_08_mean,0.01122361439116554
spectral_contrast_3_std,0.011214551150773267
prosody_f2_std,0.011093883566978598
mfcc_07_max,0.010903633825953194
mfcc_14_kurt,0.010851512187524759
mfcc_18_max,0.010762908769163205
mfcc_07_min,0.010759336599548681
mfcc_12_std,0.010611625129784944
mfcc_04_max,0.010536678459309817
mfcc_09_skew,0.010486266234418753
mfcc_15_std,0.010304832383434931
mfcc_11_mean,0.010165234267313515
mfcc_17_std,0.00999853669175172
mfcc_06_skew,0.009997327047630804
spectral_band_500_1000_mean,0.00980266232279761
mfcc_d1_14_std,0.009735386020908551
mfcc_03_max,0.0097163449928217
mfcc_05_kurt,0.009622637310012581
mfcc_05_skew,0.009585597991166012
prosody_hnr_mean,0.009471141504500463
prosody_hnr_std,0.009226260959452273
mfcc_06_min,0.009122704586674356
spectral_flatness_median,0.008997152848309913
chroma_05_mean,0.008996457395102068
prosody_shimmer_local,0.008736868033592473
prosody_f4_median,0.008708807505089317
mfcc_04_kurt,0.008613932112974631
mfcc_09_median,0.00854555408786764
prosody_hnr_median,0.008469296029572956
mfcc_d1_05_std,0.008421172877233308
mfcc_04_iqr,0.008383777473848159
mfcc_15_min,0.008330466825738856
mfcc_17_min,0.008310127144989013
prosody_f2_mean,0.008083031167430524
spectral_rolloff85_kurt,0.008050842757644068
prosody_f1_median,0.007738516772993986
mfcc_08_max,0.007668142345483874
spectral_slope_kurt,0.007632757144110121
chroma_09_mean,0.00759124120651274
mfcc_14_std,0.00753971072744929
prosody_f4_mean,0.0075216263688014364
spectral_flatness_min,0.007399463956461006
mfcc_16_iqr,0.007319566586957599
mfcc_18_min,0.007302378875820731
mfcc_10_max,0.007295454789609834
mfcc_05_min,0.00726257917777783
mfcc_18_iqr,0.007230028336405316
mfcc_d1_16_std,0.007055967241615073
mfcc_16_min,0.0070391253196754044
prosody_f1_bw_median,0.0069805839177716255
chroma_01_mean,0.006972196009831736
mfcc_05_max,0.006724108238094769
mfcc_13_mean,0.006608837434461488
mfcc_14_min,0.006582740666915449
prosody_f0_iqr,0.006404741417204064
prosody_f5_median,0.006324001024292177
mfcc_04_std,0.006110457750230972
prosody_jitter_local,0.005951470976754169
mfcc_13_skew,0.005780521120867095
spectral_rms_kurt,0.0055502005139642496
mfcc_16_max,0.005545068827890217
prosody_intensity_iqr,0.005395140870359073
prosody_n_voiced_segments,0.005390593103715481
mfcc_18_std,0.005380381395691295
mfcc_16_std,0.005298189431662713
mfcc_04_min,0.005096922694635644
chroma_08_mean,0.004922227556965687
prosody_mean_voiced_seg_s,0.004919583137062912
prosody_f3_std,0.00473142559153639
prosody_f5_mean,0.004669918049087248
mfcc_08_min,0.004611418976341517
mfcc_15_max,0.004383594547102453
mfcc_04_mean,0.0043124680933186
mfcc_09_max,0.0041318087279644195
spectral_contrast_0_mean,0.004058512911307648
prosody_f2_median,0.0040490577758100586
spectral_entropy_median,0.004008198904217528
prosody_f1_std,0.003956357137081823
prosody_f0_mean,0.003940798819908354
mfcc_06_max,0.0038955604467900977
mfcc_05_std,0.0037702604318049235
mfcc_09_min,0.003743971310044155
spectral_contrast_0_std,0.003720149673039018
chroma_11_mean,0.003599821175580532
chroma_10_mean,0.0035888987173590386
prosody_f4_std,0.0035801590766383925
mfcc_07_mean,0.0035203005734275746
mfcc_09_mean,0.0033588908654238483
mfcc_10_min,0.0031954069030191035
prosody_f0_min,0.0031953321271274587
spectral_slope_skew,0.0031838724538683924
spectral_zcr_median,0.003027721887080359
prosody_f0_median,0.0030118614413744667
prosody_jitter_rap,0.00276865493981031
prosody_jitter_ddp,0.0027686549398103027
prosody_f0_skew,0.002649112228935188
mfcc_06_mean,0.0026371869530507036
chroma_06_mean,0.0024465538615128122
