model,condition,n_neutralised,uar_compressed,uar_clean_control,recovery,gap_to_clean
random_forest,mp3_64,0,0.5323412698412698,0.5349206349206349,0.0,-0.00257936507936507
random_forest,mp3_64,1,0.5294642857142856,0.5342261904761904,-0.002876984126984228,-0.004761904761904745
random_forest,mp3_64,2,0.5320436507936508,0.5342261904761906,-0.00029761904761904656,-0.002182539682539786
random_forest,mp3_64,3,0.5344246031746032,0.5342261904761904,0.002083333333333326,0.00019841269841280873
random_forest,mp3_64,5,0.5341269841269841,0.5342261904761906,0.0017857142857142794,-9.920634920645988e-05
random_forest,mp3_64,10,0.5327380952380952,0.5367063492063492,0.0003968253968253954,-0.003968253968253954
random_forest,mp3_64,20,0.535218253968254,0.5321428571428571,0.0028769841269841168,0.0030753968253968145
random_forest,mp3_64,40,0.5299603174603175,0.5254960317460317,-0.0023809523809523725,0.0044642857142858094
random_forest,mp3_64,80,0.523611111111111,0.5206349206349207,-0.00873015873015881,0.0029761904761903546
xgboost,mp3_64,0,0.5861111111111111,0.5821428571428572,0.0,0.003968253968253954
xgboost,mp3_64,1,0.5810515873015873,0.5828373015873016,-0.0050595238095237915,-0.0017857142857142794
xgboost,mp3_64,2,0.580952380952381,0.5822420634920634,-0.00515873015873014,-0.001289682539682424
xgboost,mp3_64,3,0.5799603174603175,0.5810515873015872,-0.006150793650793629,-0.0010912698412697264
xgboost,mp3_64,5,0.5851190476190476,0.5834325396825397,-0.0009920634920634885,0.0016865079365079305
xgboost,mp3_64,10,0.5822420634920635,0.5753968253968255,-0.0038690476190476053,0.006845238095238071
xgboost,mp3_64,20,0.5817460317460318,0.5739087301587302,-0.00436507936507935,0.00783730158730156
xgboost,mp3_64,40,0.5803571428571429,0.5779761904761905,-0.0057539682539682335,0.0023809523809523725
xgboost,mp3_64,80,0.563888888888889,0.564781746031746,-0.022222222222222143,-0.0008928571428570287
decision_tree,mp3_64,0,0.3818452380952381,0.3904761904761905,0.0,-0.00863095238095235
decision_tree,mp3_64,1,0.3818452380952381,0.3904761904761905,0.0,-0.00863095238095235
decision_tree,mp3_64,2,0.3907738095238095,0.3931547619047619,0.008928571428571397,-0.0023809523809523725
decision_tree,mp3_64,3,0.3907738095238095,0.3931547619047619,0.008928571428571397,-0.0023809523809523725
decision_tree,mp3_64,5,0.3907738095238095,0.3931547619047619,0.008928571428571397,-0.0023809523809523725
decision_tree,mp3_64,10,0.39375,0.39375,0.011904761904761862,0.0
decision_tree,mp3_64,20,0.39255952380952386,0.399702380952381,0.010714285714285732,-0.0071428571428571175
decision_tree,mp3_64,40,0.3903769841269842,0.3964285714285714,0.008531746031746057,-0.006051587301587225
decision_tree,mp3_64,80,0.395734126984127,0.4000000000000001,0.013888888888888895,-0.004265873015873056
logistic_regression,mp3_64,0,0.2333333333333333,0.5668650793650793,0.0,-0.33353174603174607
logistic_regression,mp3_64,1,0.5023809523809524,0.5646825396825397,0.2690476190476191,-0.0623015873015873
logistic_regression,mp3_64,2,0.5290674603174603,0.566468253968254,0.29573412698412704,-0.03740079365079363
logistic_regression,mp3_64,3,0.5621031746031746,0.5691468253968255,0.3287698412698413,-0.00704365079365088
logistic_regression,mp3_64,5,0.5279761904761905,0.5445436507936509,0.2946428571428572,-0.01656746031746037
logistic_regression,mp3_64,10,0.5387896825396825,0.5401785714285715,0.30545634920634923,-0.001388888888888995
logistic_regression,mp3_64,20,0.5101190476190477,0.5118055555555556,0.2767857142857144,-0.0016865079365079305
logistic_regression,mp3_64,40,0.5033730158730159,0.5093253968253968,0.2700396825396826,-0.005952380952380931
logistic_regression,mp3_64,80,0.4351190476190476,0.4367063492063492,0.20178571428571432,-0.0015873015873015817
svm_rbf,mp3_64,0,0.20297619047619045,0.5856150793650794,0.0,-0.382638888888889
svm_rbf,mp3_64,1,0.5774801587301587,0.5870039682539683,0.37450396825396826,-0.009523809523809601
svm_rbf,mp3_64,2,0.582936507936508,0.5876984126984127,0.37996031746031755,-0.004761904761904745
svm_rbf,mp3_64,3,0.578968253968254,0.5869047619047619,0.3759920634920636,-0.007936507936507908
svm_rbf,mp3_64,5,0.5766865079365079,0.5844246031746031,0.37371031746031746,-0.007738095238095211
svm_rbf,mp3_64,10,0.5745039682539682,0.5784722222222222,0.3715277777777778,-0.003968253968253954
svm_rbf,mp3_64,20,0.5750992063492063,0.5818452380952381,0.3721230158730159,-0.006746031746031833
svm_rbf,mp3_64,40,0.570436507936508,0.578968253968254,0.3674603174603176,-0.008531746031746001
svm_rbf,mp3_64,80,0.5507936507936508,0.5634920634920634,0.3478174603174604,-0.012698412698412542
mlp_sklearn,mp3_64,0,0.3834325396825397,0.5742063492063493,0.0,-0.19077380952380957
mlp_sklearn,mp3_64,1,0.5517857142857143,0.5694444444444445,0.16835317460317462,-0.017658730158730207
mlp_sklearn,mp3_64,2,0.5543650793650793,0.5688492063492063,0.17093253968253957,-0.014484126984127044
mlp_sklearn,mp3_64,3,0.5645833333333333,0.572420634920635,0.18115079365079362,-0.00783730158730167
mlp_sklearn,mp3_64,5,0.5557539682539682,0.5630952380952381,0.17232142857142846,-0.007341269841269926
mlp_sklearn,mp3_64,10,0.5624007936507937,0.5675595238095239,0.17896825396825394,-0.005158730158730251
mlp_sklearn,mp3_64,20,0.5569444444444445,0.5620039682539683,0.17351190476190476,-0.0050595238095237915
mlp_sklearn,mp3_64,40,0.5382936507936508,0.5441468253968254,0.15486111111111106,-0.005853174603174582
mlp_sklearn,mp3_64,80,0.5228174603174603,0.5267857142857143,0.13938492063492064,-0.003968253968253954
ann_pytorch,mp3_64,0,0.3535714285714286,0.5993055555555555,0.0,-0.24573412698412694
ann_pytorch,mp3_64,1,0.5803571428571429,0.6074404761904763,0.2267857142857143,-0.027083333333333348
ann_pytorch,mp3_64,2,0.5868055555555556,0.6079365079365079,0.233234126984127,-0.021130952380952306
ann_pytorch,mp3_64,3,0.5949404761904762,0.6089285714285715,0.2413690476190476,-0.0139880952380953
ann_pytorch,mp3_64,5,0.590376984126984,0.6088293650793651,0.23680555555555544,-0.01845238095238111
ann_pytorch,mp3_64,10,0.5889880952380953,0.6089285714285714,0.23541666666666666,-0.01994047619047612
ann_pytorch,mp3_64,20,0.593452380952381,0.6055555555555555,0.23988095238095236,-0.01210317460317456
ann_pytorch,mp3_64,40,0.5901785714285714,0.5891865079365081,0.23660714285714285,0.0009920634920633775
ann_pytorch,mp3_64,80,0.5737103174603174,0.5720238095238095,0.22013888888888883,0.0016865079365079305
random_forest,mp4_aac64,0,0.5223214285714286,0.5349206349206349,0.0,-0.012599206349206304
random_forest,mp4_aac64,1,0.5217261904761905,0.5342261904761904,-0.0005952380952380931,-0.012499999999999845
random_forest,mp4_aac64,2,0.5206349206349207,0.5348214285714286,-0.0016865079365079305,-0.014186507936507886
