feature,importance,std,family
mfcc_10_mean,0.0018253968253968411,0.0034472457703738574,mfcc
mfcc_d2_12_mean,0.0018253968253968411,0.0020701586449638908,mfcc
prosody_f0_iqr,0.0018253968253968411,0.003256991433405809,prosody
mfcc_07_max,0.0017857142857143238,0.0031050160979463415,mfcc
mfcc_d2_05_mean,0.0017857142857143238,0.0017846116525213377,mfcc
mfcc_07_iqr,0.0017857142857142794,0.0028227649593299486,mfcc
spectral_slope_median,0.0017261904761904923,0.0024061170156437573,spectral
mfcc_19_max,0.0017261904761904701,0.0014534322676041564,mfcc
prosody_f5_mean,0.0017063492063492224,0.0020556551425285,prosody
spectral_band_3000_4000_std,0.001686507936507975,0.0022726700100438963,spectral
mfcc_d2_00_std,0.0016666666666667273,0.0029870173438982105,mfcc
mfcc_07_median,0.001666666666666683,0.0016735026098380625,mfcc
mfcc_10_median,0.0016468253968254353,0.004703929488513289,mfcc
mfcc_02_min,0.001607142857142918,0.001550160713065422,mfcc
spectral_bandwidth_mean,0.0015873015873016038,0.0014127764380093084,spectral
spectral_band_5000_6000_std,0.0015674603174603342,0.00044983270034738593,spectral
prosody_f3_bw_median,0.0015476190476190644,0.0019497013486568446,prosody
mfcc_06_max,0.0015277777777777724,0.001448004943691974,mfcc
prosody_f0_mean,0.0015079365079365247,0.002961870310624925,prosody
prosody_f2_mean,0.001488095238095255,0.0028608606763566337,prosody
mfcc_19_iqr,0.0014880952380952328,0.0018324999823839327,mfcc
mfcc_d1_09_mean,0.0014682539682539853,0.0016581414615695286,mfcc
mfcc_09_mean,0.001468253968253963,0.0016676112213849697,mfcc
spectral_entropy_skew,0.0014484126984127376,0.004250201927827818,spectral
mfcc_d1_08_std,0.0014484126984127155,0.0011748310589752315,mfcc
prosody_shimmer_localdb,0.0014285714285714236,0.002602611969782604,prosody
spectral_slope_skew,0.0014087301587302203,0.00114736764244455,spectral
mfcc_d1_10_mean,0.0014087301587301538,0.0032295590488934664,mfcc
mfcc_d1_16_std,0.0013690476190476365,0.00131522328723624,mfcc
spectral_flatness_max,0.0013492063492063888,0.0019607752823143057,spectral
spectral_bandwidth_std,0.0013492063492063443,0.0023389146076652893,spectral
spectral_zcr_max,0.0013293650793650968,0.00132446978319675,spectral
prosody_f0_kurt,0.001309523809523805,0.0024784915031154185,prosody
mfcc_12_mean,0.001309523809523805,0.0021336515966301614,mfcc
mfcc_02_iqr,0.0012896825396825572,0.0008156668567894789,mfcc
mfcc_d2_19_std,0.0012896825396825572,0.0023417742260032712,mfcc
mfcc_03_std,0.001289682539682535,0.00349341604397995,mfcc
mfcc_d2_17_std,0.0012698412698412653,0.0013197054879615737,mfcc
spectral_entropy_std,0.00125000000000004,0.00310603022913956,spectral
mfcc_d2_16_std,0.0012103174603174782,0.002439266056921139,mfcc
mfcc_18_skew,0.0011904761904762307,0.0012965324803733717,mfcc
spectral_entropy_median,0.0011904761904761862,0.0034095823721729942,spectral
mfcc_01_iqr,0.0011904761904761862,0.0018812621136719868,mfcc
chroma_10_mean,0.0011904761904761862,0.0010684850807806518,chroma
mfcc_18_kurt,0.0011706349206349609,0.00228683008479745,mfcc
spectral_bandwidth_kurt,0.0011706349206349164,0.002614534350798266,spectral
spectral_rms_min,0.0011309523809524213,0.0023773120318651233,spectral
mfcc_d1_19_mean,0.0011309523809523991,0.0021208823280258375,mfcc
spectral_flatness_skew,0.001130952380952377,0.0015830797028030656,spectral
mfcc_11_min,0.001130952380952377,0.0017417425672503705,mfcc
mfcc_07_min,0.0011111111111111293,0.0021290338974184653,mfcc
mfcc_14_iqr,0.0010912698412698595,0.001865501471990986,mfcc
mfcc_04_skew,0.0010912698412698595,0.0024203096320598587,mfcc
prosody_f1_bw_median,0.0010912698412698374,0.001774657124999827,prosody
spectral_rolloff85_std,0.0010912698412698374,0.0016021134316020855,spectral
spectral_band_1000_2000_std,0.00107142857142859,0.00199836163682768,spectral
spectral_band_1000_2000_mean,0.0010317460317460947,0.0024191707776006167,spectral
chroma_02_std,0.0010317460317460503,0.0023126785304894534,chroma
mfcc_d1_08_mean,0.0010317460317460503,0.0023731684932606183,mfcc
mfcc_16_min,0.0010317460317460282,0.0022294737127916964,mfcc
mfcc_12_min,0.0010119047619047805,0.0018457713856441184,mfcc
prosody_f4_median,0.0009920634920635107,0.002621751850660174,prosody
spectral_rolloff85_median,0.000952380952380949,0.0013996184197260582,spectral
spectral_slope_iqr,0.000952380952380949,0.002566052335899848,spectral
mfcc_00_std,0.000952380952380949,0.0025452567794959553,mfcc
spectral_hf_ratio_4000_mean,0.0009325396825396792,0.0007279339812636538,spectral
prosody_jitter_local,0.0009325396825396792,0.0013465777381711978,prosody
prosody_intensity_min,0.0009126984126984538,0.0014007430630731909,prosody
mfcc_19_median,0.0009126984126984095,0.002089842439279291,mfcc
mfcc_06_std,0.0008928571428571841,0.0031484538111359868,mfcc
spectral_rolloff95_iqr,0.0008730158730159143,0.0005226960266793194,spectral
mfcc_05_kurt,0.0008730158730158921,0.0019635841299584056,mfcc
mfcc_d1_13_mean,0.0008531746031746002,0.002183080741015748,mfcc
mfcc_10_std,0.000833333333333397,0.0007439814785417429,mfcc
mfcc_d2_16_mean,0.0008333333333333748,0.0029164641977020627,mfcc
spectral_bandwidth_min,0.0008333333333333304,0.0017201362541026323,spectral
prosody_intensity_max,0.0007936507936508131,0.0011206366068605312,prosody
mfcc_06_iqr,0.0007936507936507908,0.0033099853128796338,mfcc
mfcc_d1_13_std,0.0007936507936507908,0.0017091155132823773,mfcc
mfcc_15_median,0.0007738095238095432,0.0013535760238738215,mfcc
mfcc_d2_13_std,0.0007738095238095432,0.0017739915037505733,mfcc
prosody_f0_median,0.000773809523809521,0.0019755768155387435,prosody
mfcc_09_max,0.000773809523809521,0.0021290338974184956,mfcc
mfcc_d1_00_mean,0.0007539682539682735,0.002276650625379889,mfcc
mfcc_d2_08_std,0.0007341269841270037,0.002489743384656604,mfcc
mfcc_03_min,0.0006746031746032166,0.0032574748817435833,mfcc
mfcc_08_max,0.0006746031746031722,0.0009461602394893907,mfcc
spectral_contrast_1_std,0.0006547619047619025,0.0023092715184295995,spectral
mfcc_13_kurt,0.0006349206349206326,0.0011321700490227822,mfcc
mfcc_d2_09_std,0.0006150793650793851,0.0018983440158515487,mfcc
chroma_11_std,0.0006150793650793851,0.0022195633185990993,chroma
mfcc_06_median,0.0005952380952381597,0.0017999870523875863,mfcc
prosody_hnr_min,0.0005952380952381376,0.0009494830249210972,prosody
spectral_slope_max,0.0005952380952381376,0.0006986832087959773,spectral
spectral_centroid_kurt,0.0005952380952380931,0.0015266177826723235,spectral
mfcc_12_median,0.0005555555555555758,0.0022400433376831685,mfcc
spectral_rolloff85_iqr,0.0005555555555555758,0.001435718453581397,spectral
mfcc_03_iqr,0.000535714285714306,0.0013436510280426456,mfcc
mfcc_19_std,0.0004960317460317443,0.0016131330654109344,mfcc
spectral_rolloff85_mean,0.0004761904761904745,0.0012971396133873883,spectral
spectral_contrast_3_std,0.0004761904761904745,0.00229027048103302,spectral
prosody_shimmer_apq5,0.0004761904761904745,0.0014971944031677315,prosody
spectral_zcr_skew,0.00045634920634920475,0.0014561383438022784,spectral
mfcc_04_max,0.00043650793650795716,0.0018427829715874971,mfcc
mfcc_08_min,0.00043650793650793494,0.0023905230923538063,mfcc
spectral_rolloff95_mean,0.0004166666666667318,0.001482662039068988,spectral
chroma_11_mean,0.0004166666666666652,0.00272223379145118,chroma
mfcc_17_mean,0.0003968253968254398,0.004011176593833638,mfcc
prosody_hnr_median,0.00037698412698412566,0.0021918991237526077,prosody
mfcc_d2_11_mean,0.00031746031746038295,0.0030554267134246154,mfcc
mfcc_17_kurt,0.00031746031746033855,0.0017426464295671558,mfcc
chroma_04_mean,0.0003174603174603163,0.0027366570872327943,chroma
mfcc_14_max,0.0003174603174603163,0.0025358043305670503,mfcc
prosody_cpps,0.0003174603174603163,0.0035428752773046597,prosody
mfcc_d1_01_mean,0.000277777777777799,0.002265209226430565,mfcc
mfcc_04_min,0.0002579365079365292,0.0016028504308429482,mfcc
mfcc_04_median,0.00023809523809525945,0.002973940948799047,mfcc
mfcc_05_mean,0.00021825396825396747,0.0022521370831210573,mfcc
mfcc_13_median,0.00021825396825396747,0.002241624482936278,mfcc
spectral_bandwidth_max,0.00017857142857147235,0.002253010918983386,spectral
prosody_shimmer_apq3,0.00017857142857147235,0.0013936991530821756,prosody
prosody_shimmer_dda,0.00017857142857147235,0.0013936991530821756,prosody
mfcc_05_max,0.00017857142857145015,0.002380456297525639,mfcc
mfcc_16_kurt,0.00017857142857145015,0.001396520980537117,mfcc
mfcc_d1_15_mean,0.00017857142857142795,0.0015927485905070959,mfcc
mfcc_d1_11_std,0.00015873015873020259,0.0018017358864677404,mfcc
mfcc_d1_17_std,0.00015873015873015816,0.0031469529988740904,mfcc
mfcc_02_mean,0.0001388888888889328,0.0018277676115756008,mfcc
chroma_03_mean,0.0001388888888889106,0.0008730158730158562,chroma
spectral_contrast_6_mean,0.00011904761904768524,0.002030606389206443,spectral
mfcc_d1_04_std,0.00011904761904764083,0.001896269095550834,mfcc
mfcc_05_iqr,0.00011904761904761863,0.0016013760931730954,mfcc
chroma_07_mean,0.00011904761904761863,0.0008859965699113503,chroma
