emotion,feature,importance,family
ANG,duration_s,0.07812960569759754,other
ANG,peak_amplitude,0.06991948706260227,other
ANG,spectral_centroid_mean,0.14512655059886564,spectral
ANG,spectral_centroid_std,0.3562569511969871,spectral
ANG,spectral_centroid_min,0.13505588698663773,spectral
ANG,spectral_centroid_max,0.45096313810037275,spectral
ANG,spectral_centroid_median,0.11794703591804014,spectral
ANG,spectral_centroid_iqr,0.21770116768021916,spectral
ANG,spectral_centroid_skew,0.2310342138394149,spectral
ANG,spectral_centroid_kurt,0.012166258777623673,spectral
ANG,spectral_bandwidth_mean,0.027284582317975137,spectral
ANG,spectral_bandwidth_std,0.05014596281696433,spectral
ANG,spectral_bandwidth_min,0.25014920668198626,spectral
ANG,spectral_bandwidth_max,0.3021163936910897,spectral
ANG,spectral_bandwidth_median,0.5453267765972638,spectral
ANG,spectral_bandwidth_iqr,0.44434827116433184,spectral
ANG,spectral_bandwidth_skew,0.14120044493135084,spectral
ANG,spectral_bandwidth_kurt,0.3115768326570872,spectral
ANG,spectral_rolloff85_mean,0.3465248251133744,spectral
ANG,spectral_rolloff85_std,0.8463237149436978,spectral
ANG,spectral_rolloff85_min,0.01575291052606022,spectral
ANG,spectral_rolloff85_max,0.44573363910773084,spectral
ANG,spectral_rolloff85_median,0.15230126221962378,spectral
ANG,spectral_rolloff85_iqr,0.0932017382412207,spectral
ANG,spectral_rolloff85_skew,0.10054333962394213,spectral
ANG,spectral_rolloff85_kurt,0.2257345764061134,spectral
ANG,spectral_rolloff95_mean,0.5886034310244994,spectral
ANG,spectral_rolloff95_std,0.3592316592821249,spectral
ANG,spectral_rolloff95_min,0.17609253863047342,spectral
ANG,spectral_rolloff95_max,0.07106886445555412,spectral
ANG,spectral_rolloff95_median,0.07326549834953809,spectral
ANG,spectral_rolloff95_iqr,0.7687475552510151,spectral
ANG,spectral_rolloff95_skew,0.06213172141598406,spectral
ANG,spectral_rolloff95_kurt,0.07258877751159322,spectral
ANG,spectral_flatness_mean,0.1892300266047851,spectral
ANG,spectral_flatness_std,0.4607257668256333,spectral
ANG,spectral_flatness_min,0.12427302042672937,spectral
ANG,spectral_flatness_max,0.1920197602606177,spectral
ANG,spectral_flatness_median,0.04174062326878573,spectral
ANG,spectral_flatness_iqr,0.44701849198864985,spectral
ANG,spectral_flatness_skew,0.4203707657670206,spectral
ANG,spectral_flatness_kurt,0.45213997119993177,spectral
ANG,spectral_zcr_mean,0.35190593593906966,spectral
ANG,spectral_zcr_std,0.19422560715959153,spectral
ANG,spectral_zcr_min,0.045136962478479675,spectral
ANG,spectral_zcr_max,0.42771982180775203,spectral
ANG,spectral_zcr_median,0.4460042656793973,spectral
ANG,spectral_zcr_iqr,0.5216643723335811,spectral
ANG,spectral_zcr_skew,0.0015880562798877506,spectral
ANG,spectral_zcr_kurt,0.2609400137615923,spectral
ANG,spectral_rms_mean,0.06420030056874584,spectral
ANG,spectral_rms_std,0.36036943526864396,spectral
ANG,spectral_rms_min,0.17020171137427464,spectral
ANG,spectral_rms_max,0.39178013147978985,spectral
ANG,spectral_rms_median,0.5391835431186184,spectral
ANG,spectral_rms_iqr,0.41085490884170905,spectral
ANG,spectral_rms_skew,0.2230610289801083,spectral
ANG,spectral_rms_kurt,0.3453496384994242,spectral
ANG,spectral_flux_mean,0.2736459692250459,spectral
ANG,spectral_flux_std,0.25020066291068105,spectral
ANG,spectral_flux_min,0.18590405551569522,spectral
ANG,spectral_flux_max,0.3274039756546415,spectral
