feature,importance,kind,family
chroma_04_mean,0.34386770879959844,mean |coefficient|,chroma
mfcc_06_min,0.3416318168609706,mean |coefficient|,mfcc
spectral_band_500_1000_std,0.3401910857786781,mean |coefficient|,spectral
mfcc_17_max,0.3394856534197659,mean |coefficient|,mfcc
spectral_rms_std,0.33818331550134445,mean |coefficient|,spectral
spectral_contrast_5_std,0.3372559973263301,mean |coefficient|,spectral
mfcc_07_mean,0.33642931357474665,mean |coefficient|,mfcc
mfcc_06_median,0.33528237668589345,mean |coefficient|,mfcc
chroma_06_mean,0.3323621562686045,mean |coefficient|,chroma
mfcc_01_skew,0.32602638571053,mean |coefficient|,mfcc
spectral_flatness_max,0.32550201267059814,mean |coefficient|,spectral
spectral_entropy_std,0.32222070053013047,mean |coefficient|,spectral
mfcc_07_median,0.3209156732735858,mean |coefficient|,mfcc
prosody_intensity_skew,0.31988384442893114,mean |coefficient|,prosody
spectral_entropy_median,0.31838523550898107,mean |coefficient|,spectral
spectral_rms_iqr,0.31805486152331713,mean |coefficient|,spectral
mfcc_08_mean,0.3169936256134649,mean |coefficient|,mfcc
spectral_band_0_500_mean,0.3157725606148067,mean |coefficient|,spectral
spectral_band_2000_3000_std,0.31516905730686334,mean |coefficient|,spectral
spectral_band_4000_5000_mean,0.3150548078075332,mean |coefficient|,spectral
mfcc_10_std,0.3144312836183343,mean |coefficient|,mfcc
mfcc_d1_16_std,0.3141118590907918,mean |coefficient|,mfcc
spectral_band_3000_4000_std,0.31384200901567666,mean |coefficient|,spectral
prosody_voiced_rate_per_s,0.3137635459225578,mean |coefficient|,prosody
spectral_contrast_5_mean,0.3114471924264027,mean |coefficient|,spectral
spectral_flux_std,0.310731919936596,mean |coefficient|,spectral
mfcc_09_median,0.30928370445757963,mean |coefficient|,mfcc
spectral_contrast_0_mean,0.30909088174009464,mean |coefficient|,spectral
chroma_09_mean,0.3071647121258285,mean |coefficient|,chroma
mfcc_01_std,0.3056996619031385,mean |coefficient|,mfcc
spectral_contrast_6_mean,0.3052180122084602,mean |coefficient|,spectral
duration_s,0.30299439221143026,mean |coefficient|,other
mfcc_12_mean,0.30196531633445267,mean |coefficient|,mfcc
prosody_f0_max,0.30076482698371704,mean |coefficient|,prosody
mfcc_04_median,0.30036859256514875,mean |coefficient|,mfcc
mfcc_03_min,0.2988915640120088,mean |coefficient|,mfcc
prosody_n_voiced_segments,0.2958701888936723,mean |coefficient|,prosody
spectral_bandwidth_mean,0.29408949421968883,mean |coefficient|,spectral
mfcc_16_mean,0.29250581868468345,mean |coefficient|,mfcc
chroma_03_mean,0.29206980178766623,mean |coefficient|,chroma
chroma_08_mean,0.28979645717877545,mean |coefficient|,chroma
mfcc_d1_12_std,0.2897924486920463,mean |coefficient|,mfcc
chroma_11_std,0.2895631384578327,mean |coefficient|,chroma
chroma_00_std,0.28848637897998164,mean |coefficient|,chroma
spectral_zcr_max,0.28650127913385265,mean |coefficient|,spectral
spectral_centroid_skew,0.28623050987380144,mean |coefficient|,spectral
mfcc_d1_04_std,0.2848825298092867,mean |coefficient|,mfcc
mfcc_13_std,0.2835756841959507,mean |coefficient|,mfcc
spectral_flux_median,0.2826546960299443,mean |coefficient|,spectral
mfcc_10_median,0.28202276009957367,mean |coefficient|,mfcc
mfcc_d1_17_std,0.2814933609115175,mean |coefficient|,mfcc
mfcc_14_std,0.28016880574624314,mean |coefficient|,mfcc
mfcc_13_median,0.27975965190745605,mean |coefficient|,mfcc
mfcc_14_min,0.2793398449115228,mean |coefficient|,mfcc
mfcc_07_min,0.2782734694870842,mean |coefficient|,mfcc
prosody_intensity_mean,0.27770587153952053,mean |coefficient|,prosody
chroma_10_mean,0.2756117632479219,mean |coefficient|,chroma
