,saliency,input_x_gradient,integrated_gradients,deeplift,gradient_shap,feature_ablation
saliency,1.0,0.9420849208423312,0.9411293387589161,0.9364610307111051,0.9478032109005855,0.9437332999362222
input_x_gradient,0.9420849208423312,1.0,0.9850564336373581,0.9833591171579832,0.9826066686598758,0.9992588447446968
integrated_gradients,0.9411293387589161,0.9850564336373581,1.0,0.9983175963925329,0.9963302752293578,0.9852194617321953
deeplift,0.9364610307111051,0.9833591171579832,0.9983175963925329,1.0,0.9955252697166627,0.9836204543792807
gradient_shap,0.9478032109005855,0.9826066686598758,0.9963302752293578,0.9955252697166627,1.0,0.9828848009602151
feature_ablation,0.9437332999362222,0.9992588447446968,0.9852194617321953,0.9836204543792807,0.9828848009602151,1.0
