condition,feature,family,mean_ref,mean_cond,smd,t,p,rel_change,abs_smd,significant
mp3_64,duration_s,other,2.542880123639296,2.54302917954576,0.00029456961243705285,23.49018896553723,9.149600486104995e-118,5.8616961561889515e-05,0.00029456961243705285,True
mp3_64,peak_amplitude,other,0.5329464959963693,0.5066662532133596,-0.21464317194805485,-287.74287722588775,0.0,-0.04931122163375441,0.21464317194805485,True
mp3_64,spectral_centroid_mean,spectral,518.4869263524757,513.1068613566217,-0.022807292665094417,-40.3263537632665,0.0,-0.010376471849931582,0.022807292665094417,True
mp3_64,spectral_centroid_std,spectral,538.8063127571289,526.2722155761109,-0.032327039407126,-41.25974747184967,0.0,-0.023262714048170235,0.032327039407126,True
mp3_64,spectral_centroid_min,spectral,98.41420409907238,100.1642466148515,0.05675898345382728,9.371093391478441,9.337527793894496e-21,0.017782418013738973,0.05675898345382728,True
mp3_64,spectral_centroid_max,spectral,3383.956579538759,3311.5531481111266,-0.0443189539632305,-39.843452201869866,0.0,-0.021396087605090094,0.0443189539632305,True
mp3_64,spectral_centroid_median,spectral,341.1464111065633,340.3492135295828,-0.006779906494813323,-24.527013750367065,8.145763976759804e-128,-0.0023368194740628436,0.006779906494813323,True
mp3_64,spectral_centroid_iqr,spectral,349.1650449650911,348.2694723081756,-0.0032872690650689517,-5.775845979431661,7.965191977424845e-09,-0.0025648978035732956,0.0032872690650689517,True
mp3_64,spectral_centroid_skew,spectral,3.171235869527321,3.128222167265186,-0.027613034606848334,-13.77179833076854,1.2521576497613438e-42,-0.013563703247512186,0.027613034606848334,True
mp3_64,spectral_centroid_kurt,spectral,15.214954786398348,14.762625733777428,-0.0300494148478758,-9.09938853846526,1.1481158891542454e-19,-0.029729240669534335,0.0300494148478758,True
mp3_64,spectral_bandwidth_mean,spectral,536.4169886266386,526.0582152891511,-0.06840743816905054,-162.16391300512223,0.0,-0.01931104636340571,0.06840743816905054,True
mp3_64,spectral_bandwidth_std,spectral,441.5860412977488,434.11550068104094,-0.038806715772608406,-66.996622623993,0.0,-0.01691751984449774,0.038806715772608406,True
mp3_64,spectral_bandwidth_min,spectral,131.53556552957326,132.27694524240147,0.017605286941955303,2.891305064872257,0.003847564862463701,0.005636344131287599,0.017605286941955303,False
mp3_64,spectral_bandwidth_max,spectral,2536.5377391584957,2492.324239509189,-0.07177246960926859,-49.90035331212791,0.0,-0.017430649253409033,0.07177246960926859,True
mp3_64,spectral_bandwidth_median,spectral,388.04457240112066,379.15326466929616,-0.11124545366027994,-161.11218392160572,0.0,-0.022913109380212064,0.11124545366027994,True
mp3_64,spectral_bandwidth_iqr,spectral,300.985082338697,297.87357006277955,-0.014901314087826434,-24.13252258628269,6.005156414100131e-124,-0.01033776242908969,0.014901314087826434,True
mp3_64,spectral_bandwidth_skew,spectral,2.7399461101974603,2.7384206131085875,-0.0013648444999124806,-0.7737740238984014,0.43908902138120726,-0.0005567617126465275,0.0013648444999124806,False
mp3_64,spectral_bandwidth_kurt,spectral,9.951030895610666,9.942700070334109,-0.0009524076724795606,-0.37680482702273516,0.7063293991879747,-0.0008371821335849671,0.0009524076724795606,False
mp3_64,spectral_rolloff85_mean,spectral,789.7642319167921,783.4422030586778,-0.016641534083546707,-34.56775980836349,5.804119137547324e-243,-0.008004957179145076,0.016641534083546707,True
mp3_64,spectral_rolloff85_std,spectral,1048.1582904841068,1030.6552568781128,-0.02944707867377513,-42.523544983189105,0.0,-0.016698845742001412,0.02944707867377513,True
mp3_64,spectral_rolloff85_min,spectral,138.7078349684182,142.29438247547372,0.0830798522356718,13.010425576114047,2.786907113482507e-38,0.025856848734407245,0.0830798522356718,True
mp3_64,spectral_rolloff85_max,spectral,5750.856739685526,5661.3106437306815,-0.05098942184181974,-30.16969077851142,9.635962166078178e-189,-0.015570914040842753,0.05098942184181974,True
mp3_64,spectral_rolloff85_median,spectral,412.51175917215426,412.43826434619,-0.0005052641139472976,-0.8531355590422874,0.39361159832229276,-0.0001781641961231335,0.0005052641139472976,False
mp3_64,spectral_rolloff85_iqr,spectral,520.4221122832953,517.8791913049321,-0.004433663500749159,-6.409901234626454,1.5450108587416507e-10,-0.00488626620265312,0.004433663500749159,True
mp3_64,spectral_rolloff85_skew,spectral,3.727684625374601,3.7089675423711745,-0.010003391287574683,-4.854145462942837,1.233707574555465e-06,-0.005021101537404211,0.010003391287574683,True
mp3_64,spectral_rolloff85_kurt,spectral,19.261652272165243,19.09325664248152,-0.007743057127189948,-2.7186224294811865,0.0065706367745118404,-0.00874253295118761,0.007743057127189948,False
mp3_64,spectral_rolloff95_mean,spectral,1185.7332808016208,1175.8933545283348,-0.02004911327671329,-43.962635624770826,0.0,-0.008298600058382144,0.02004911327671329,True
mp3_64,spectral_rolloff95_std,spectral,1387.0924578004906,1362.4639782742634,-0.042389233482244174,-59.93795640996686,0.0,-0.017755470724194235,0.042389233482244174,True
mp3_64,spectral_rolloff95_min,spectral,220.39628410159924,225.91049590108855,0.1184482396103803,13.407313109829708,1.6141192102863934e-40,0.025019531622172686,0.1184482396103803,True
mp3_64,spectral_rolloff95_max,spectral,6592.023921515925,6450.040317161672,-0.11275753069043856,-51.55719790593064,0.0,-0.021538696771234198,0.11275753069043856,True
mp3_64,spectral_rolloff95_median,spectral,626.3439053890606,626.3502049455718,2.156375371298506e-05,0.03820547225728203,0.9695248828952745,1.0057663939856627e-05,2.156375371298506e-05,False
mp3_64,spectral_rolloff95_iqr,spectral,985.0270040989114,981.2126226313668,-0.003987508926775073,-6.219585971282909,5.254283629750265e-10,-0.0038723623328824276,0.003987508926775073,True
mp3_64,spectral_rolloff95_skew,spectral,2.7699408446898173,2.7499359234229934,-0.015375258213462823,-8.690110738354582,4.402079070430733e-18,-0.007222147471190503,0.015375258213462823,True
mp3_64,spectral_rolloff95_kurt,spectral,9.720421966589983,9.619748087439813,-0.009254502228002328,-3.098163314507745,0.0019544985445688026,-0.010356945356507745,0.009254502228002328,False
mp3_64,spectral_flatness_mean,spectral,0.018858878473348058,0.006617701911837896,-1.0223191262920743,-133.04809157771263,0.0,-0.6490935597686662,1.0223191262920743,True
mp3_64,spectral_flatness_std,spectral,0.03348606317079628,0.012256163811731708,-0.918088687241996,-129.7595237626225,0.0,-0.6339920954810686,0.918088687241996,True
mp3_64,spectral_flatness_min,spectral,0.0007474449663231525,0.00027198604251198015,-0.932927650689344,-122.08135858782964,0.0,-0.6361122828213831,0.932927650689344,True
mp3_64,spectral_flatness_max,spectral,0.22665454648903718,0.09412926193622091,-0.8453604868314653,-144.27609318155118,0.0,-0.5847016378258543,0.8453604868314653,True
mp3_64,spectral_flatness_median,spectral,0.007380955879861058,0.002725446461384028,-1.5450141156772044,-209.30035751351238,0.0,-0.6307461383395597,1.5450141156772044,True
mp3_64,spectral_flatness_iqr,spectral,0.012879556728581872,0.004592120397257652,-0.5581854940369317,-71.69814118684172,0.0,-0.6434566426446202,0.5581854940369317,True
mp3_64,spectral_flatness_skew,spectral,4.020212785968584,4.244546717326038,0.1411720023148202,13.441281089340572,1.0316236921536097e-40,0.05580150686063884,0.1411720023148202,True
mp3_64,spectral_flatness_kurt,spectral,21.647649224310648,26.364757058502114,0.25534420759220444,16.723567284412898,1.168107671340995e-61,0.2179039296744554,0.25534420759220444,True
mp3_64,spectral_zcr_mean,spectral,0.08170194466667564,0.08141149944766275,-0.009670520413428245,-17.279230424109894,1.2722870724004361e-65,-0.003554936424069688,0.009670520413428245,True
mp3_64,spectral_zcr_std,spectral,0.07076774406525582,0.07021165278536368,-0.012240615442456077,-14.050691127421763,2.799165804958414e-44,-0.007857976642287297,0.012240615442456077,True
mp3_64,spectral_zcr_min,spectral,0.014834699637145548,0.01518109125117592,0.06890944414020907,8.508720586753011,2.1050498104279623e-17,0.02335009285681925,0.06890944414020907,True
mp3_64,spectral_zcr_max,spectral,0.4201488375218385,0.41855194194328715,-0.008869182067934847,-4.058885120797433,4.981258003968678e-05,-0.0038007854263511012,0.008869182067934847,True
mp3_64,spectral_zcr_median,spectral,0.059303353043945704,0.05913956457465395,-0.010976872459608449,-8.608799560601144,8.912402307707215e-18,-0.002761875355856923,0.010976872459608449,True
mp3_64,spectral_zcr_iqr,spectral,0.05034353581507862,0.05076720198897997,0.011947727224551818,11.530579363804474,1.6787761140459973e-30,0.008415502944758612,0.011947727224551818,True
mp3_64,spectral_zcr_skew,spectral,2.666170051647696,2.6652792279593944,-0.0007540191968857344,-0.2161903371915917,0.8288453121245624,-0.0003341211066980116,0.0007540191968857344,False
mp3_64,spectral_zcr_kurt,spectral,10.1625689340023,10.103724123802678,-0.006683588819037081,-1.6634764277244036,0.09625922210411744,-0.005790347950579365,0.006683588819037081,False
mp3_64,spectral_rms_mean,spectral,0.025080431255209472,0.023809315356021696,-0.2125428194764988,-364.0417528167108,0.0,-0.05068158064163079,0.2125428194764988,True
mp3_64,spectral_rms_std,spectral,0.02330374379100816,0.022135984145973977,-0.4178326474776752,-720.042694769547,0.0,-0.05011038807784901,0.4178326474776752,True
mp3_64,spectral_rms_min,spectral,0.002668155101517657,0.002404109314097245,-0.09242787009012805,-24.027307396750754,6.324710853553718e-123,-0.09896193338618946,0.09242787009012805,True
mp3_64,spectral_rms_max,spectral,0.12273789506153768,0.11660042833879804,-0.2337633906531513,-394.4968499676115,0.0,-0.05000466009020661,0.2337633906531513,True
mp3_64,spectral_rms_median,spectral,0.014998728734104388,0.014230615749180962,-0.09722968631493677,-163.7241995618356,0.0,-0.05121187258869986,0.09722968631493677,True
mp3_64,spectral_rms_iqr,spectral,0.024340358772397416,0.023090214537616845,-0.17179483174550425,-277.63872857448575,0.0,-0.05136096170440457,0.17179483174550425,True
mp3_64,spectral_rms_skew,spectral,1.7884620519440027,1.7900730818764599,0.002559849982947661,14.759309998442282,1.2991751351385322e-48,0.000900790671351438,0.002559849982947661,True
mp3_64,spectral_rms_kurt,spectral,3.5111806865246713,3.5185827015875857,0.0021055674055509787,12.485634246808214,2.0217590491696847e-35,0.0021081270728453495,0.0021055674055509787,True
mp3_64,spectral_flux_mean,spectral,4.588783633641527,4.35504859728414,-0.17959548499853914,-304.4326941623176,0.0,-0.05093616413809889,0.17959548499853914,True
mp3_64,spectral_flux_std,spectral,3.818774145879517,3.6258474687643334,-0.25639332758821315,-421.77042910160867,0.0,-0.050520578003638315,0.25639332758821315,True
mp3_64,spectral_flux_min,spectral,0.8339992713795452,0.792104679903458,-0.06120838595578514,-99.45179676600797,0.0,-0.05023336699897592,0.06120838595578514,True
mp3_64,spectral_flux_max,spectral,22.83219048618357,21.68598180354851,-0.1867060852513859,-303.67960450314814,0.0,-0.05020143307444215,0.1867060852513859,True
mp3_64,spectral_flux_median,spectral,3.1440280320541127,2.982617103273294,-0.09765842891492436,-163.4081156626201,0.0,-0.05133889619786967,0.09765842891492436,True
mp3_64,spectral_flux_iqr,spectral,3.9245545567093303,3.7200504793506277,-0.21077613093120115,-258.9926197971965,0.0,-0.05210886341459746,0.21077613093120115,True
mp3_64,spectral_flux_skew,spectral,1.8913005912642662,1.8939597706935893,0.004175605648445958,16.764327420865584,6.037196595739897e-62,0.0014060057093016496,0.004175605648445958,True
mp3_64,spectral_flux_kurt,spectral,4.595607968526402,4.60850646557355,0.003192700062251946,11.87779720393775,3.0165301683623284e-32,0.002806700905622122,0.003192700062251946,True
mp3_64,spectral_entropy_mean,spectral,0.4553076323734261,0.4547656855307271,-0.019720043590587117,-33.56582489466128,3.961153080699564e-230,-0.0011902871908250755,0.019720043590587117,True
mp3_64,spectral_entropy_std,spectral,0.09357175291325517,0.09242401076653896,-0.04689550128279741,-59.66138276620978,0.0,-0.012265904089455494,0.04689550128279741,True
mp3_64,spectral_entropy_min,spectral,0.2614628126253237,0.2676795312131461,0.12221706303933737,13.272080566224403,9.491540063227731e-40,0.02377668367214773,0.12221706303933737,True
mp3_64,spectral_entropy_max,spectral,0.7645829943728544,0.7583815841543213,-0.07891455556932311,-31.550577698175807,3.634760378141931e-205,-0.008110839848876996,0.07891455556932311,True
mp3_64,spectral_entropy_median,spectral,0.4394673509828445,0.43928243356259883,-0.008027841659918428,-19.74302706106123,1.3121507406305498e-84,-0.00042077624158454695,0.008027841659918428,True
mp3_64,spectral_entropy_iqr,spectral,0.11085927974484291,0.11056513830163413,-0.007812696252095706,-12.456535812802162,2.891232252178647e-35,-0.0026532866160216065,0.007812696252095706,True
